Paper Title,Paper Link,Publication Year,Publication Type,Publication Title,Author Names,DOI,PDF Link,Open Access,Citations Count,PubMed ID,PMC ID,References,arXiv ID,OpenAlex ID,Source,Abstract,Review,Preprint,arXiv_used
Recent advances in carbon dioxide capture for process intensification,https://www.semanticscholar.org/paper/945caa241bd10ea3df79935605ff2015f4240631,2022.0,,Carbon Capture Science & Technology,"J. Buckingham, T. Reina, MeIis S. Duyar",https://doi.org/10.1016/j.ccst.2022.100031,https://doi.org/10.1016/j.ccst.2022.100031,True,72,,,170.0,,,SemanticScholar,,NO,NO,NO
Membrane materials targeting carbon capture and utilization,https://www.semanticscholar.org/paper/eaeae34aefb9de7679741972447dbb68b24b83f6,2022.0,,Advanced Membranes,"Guining Chen, Tianlei Wang, Guangru Zhang, Gongpin Liu, W. Jin",https://doi.org/10.1016/j.advmem.2022.100025,https://doi.org/10.1016/j.advmem.2022.100025,True,88,,,99.0,,,SemanticScholar,"Over the past decades, fossil fuel combustion has emitted large quantities of CO 2 into the atmosphere, resulting in global climate change. Nowadays, it's considered a feasible strategy to capture CO 2 from some signi ﬁ cant point sources. Three main strategies have been developed, namely post-combustion, pre-combustion, and oxy-fuel combustion. Recent research indicates that the membrane technology for CO 2 capture has become competitive compared with conventional technologies because of the improved separation performance in materials and process designs. This paper mainly reviews the progress and breakthroughs of membrane materials for the three gas separation systems corresponding to the CO 2 capture strategies. Besides, the CO 2 utilization by the membrane process has also been highlighted.",NO,NO,NO
Review of Cryogenic Carbon Capture Innovations and Their Potential Applications,https://www.semanticscholar.org/paper/03dfab3079f078a363a8a40887aa608cac82876b,2021.0,,C++ Conference,"C. Font-Palma, D. Cann, Chinonyelum Udemu",https://doi.org/10.3390/c7030058,https://www.mdpi.com/2311-5629/7/3/58/pdf,True,133,,,93.0,,,SemanticScholar,"Our ever-increasing interest in economic growth is leading the way to the decline of natural resources, the detriment of air quality, and is fostering climate change. One potential solution to reduce carbon dioxide emissions from industrial emitters is the exploitation of carbon capture and storage (CCS). Among the various CO2 separation technologies, cryogenic carbon capture (CCC) could emerge by offering high CO2 recovery rates and purity levels. This review covers the different CCC methods that are being developed, their benefits, and the current challenges deterring their commercialisation. It also offers an appraisal for selected feasible small- and large-scale CCC applications, including blue hydrogen production and direct air capture. This work considers their technological readiness for CCC deployment and acknowledges competing technologies and ends by providing some insights into future directions related to the R&D for CCC systems.",YES,NO,NO
Understanding Synthesis–Structure–Performance Correlations of Nanoarchitectured Activated Carbons for Electrochemical Applications and Carbon Capture,https://www.semanticscholar.org/paper/213414253e834125252ec958393c0ad93e313a63,2022.0,,Advanced Functional Materials,"Songtao Zhang, M. Zheng, Yijian Tang, Rui Zang, Xinyu Zhang, Xiang Huang, Yong Chen, Y. Yamauchi, S. Kaskel, H. Pang",https://doi.org/10.1002/adfm.202204714,,False,142,,,415.0,,,SemanticScholar,"Activated carbons are one of the most important classes of high‐surface‐area porous materials. Owing to their unique structure, low price, and large‐scale production technology, these porous carbons have been traditionally used as sorbents for eliminating contamination. In the past decade, many innovations have been seen in the synthesis, structure, applications, and theoretical and experimental methods. Herein, a comprehensive review of the up‐to‐date progress of activated carbons is presented from the viewpoint of synthetic chemistry and materials science. First, the critical textural properties are discussed, with special emphasis on the porous texture, heteroatom doping, surface functional groups, and partial graphitization. Next, the advanced synthetic strategies of activated carbons are summarized. Special attention is given to the reaction mechanism between activating agents and carbon sources, as well as the design of controlled forms and morphology. Then, their applicability in various emerging fields is covered, including supercapacitors, capacitive deionization, batteries, electrocatalysis, and carbon capture. In particular, this review highlights the potential synthesis–structure–property correlations of these porous materials. Finally, we present the future challenges and outlook for their success in energy and environmental science.",NO,NO,NO
"Review of carbon capture absorbents for CO
 2
 utilization",https://www.semanticscholar.org/paper/9a8812d9123b6f57887d880f72304fdba61d410c,2022.0,,Greenhouse Gases: Science and Technology,"S. Y. W. Chai, L. Ngu, B. S. How",https://doi.org/10.1002/ghg.2151,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ghg.2151,True,193,,,155.0,,,SemanticScholar,,YES,NO,NO
Potential for hydrogen production from sustainable biomass with carbon capture and storage,https://www.semanticscholar.org/paper/9dd26547f777aeb9aae07cdeabc15ac663c31ea9,2022.0,,Renewable & Sustainable Energy Reviews,"L. Rosa, M. Mazzotti",https://doi.org/10.1016/j.rser.2022.112123,https://doi.org/10.1016/j.rser.2022.112123,True,165,,,55.0,,,SemanticScholar,,NO,NO,NO
"Technical perspective of carbon capture, utilization, and storage",https://www.semanticscholar.org/paper/f3c725f9d799cf5e7e0fba5b23cea5def21df2a7,2022.0,,Engineering,"Q. Lin, Xiao Zhang, Tao Wang, Cheng-hang Zheng, Xiang Gao",https://doi.org/10.1016/j.eng.2021.12.013,https://doi.org/10.1016/j.eng.2021.12.013,True,172,,,70.0,,,SemanticScholar,,NO,NO,NO
Carbon capture and storage: History and the road ahead,https://www.semanticscholar.org/paper/09bcbab6aa59484a3f77d14dbb027e593f1966da,2022.0,,Engineering,"Jinfeng Ma, Lin Li, Haofan Wang, Yi Du, Junjie Ma, Xiaoli Zhang, Zhenliang Wang",https://doi.org/10.1016/j.eng.2021.11.024,,False,215,,,63.0,,,SemanticScholar,,NO,NO,NO
Feasibility of gasifying mixed plastic waste for hydrogen production and carbon capture and storage,https://www.semanticscholar.org/paper/5e6de9837651cf6b032d7ee96442519c6527a34f,2022.0,,Communications Earth & Environment,"Kai Lan, Yuan Yao",https://doi.org/10.1038/s43247-022-00632-1,https://www.nature.com/articles/s43247-022-00632-1.pdf,True,51,,,128.0,,,SemanticScholar,"Waste plastic gasification for hydrogen production combined with carbon capture and storage is one technology option to address the plastic waste challenge. Here, we conducted a techno-economic analysis and life cycle assessment to assess this option. The minimum hydrogen selling price of a 2000 oven-dry metric ton/day mixed plastic waste plant with carbon capture and storage is US$2.26–2.94 kg−1 hydrogen, which can compete with fossil fuel hydrogen with carbon capture and storage (US$1.21–2.62 kg−1 hydrogen) and current electrolysis hydrogen (US$3.20–7.70 kg−1 hydrogen). An improvement analysis outlines the roadmap for reducing the average minimum hydrogen selling price from US$2.60 to US$1.46 kg−1 hydrogen, which can be further lowered to US$1.06 kg−1 hydrogen if carbon credits are close to the carbon capture and storage costs along with low feedstock cost. The life cycle assessment results show that hydrogen derived from mixed plastic waste has lower environmental impacts than single-stream plastics. Combining hydrogen production derived from mixed plastic waste with carbon capture and storage technologies is technically and economically feasible at current market conditions, according to a techno-economic analysis and life cycle assessment.",NO,NO,NO
Economic-Emission Dispatch Problem in Power Systems With Carbon Capture Power Plants,https://www.semanticscholar.org/paper/4703f738c88bf1e640187aae8d279ad5ef608f7f,2021.0,,IEEE transactions on industry applications,"Alireza Akbari-Dibavar, B. Mohammadi-ivatloo, K. Zare, T. Khalili, A. Bidram",https://doi.org/10.1109/tia.2021.3079329,https://doi.org/10.1109/tia.2021.3079329,True,118,,,40.0,,,SemanticScholar,"Despite the increasing level of renewable power generation in power grids, fossil fuel power plants still have a significant role in producing carbon emissions. The integration of carbon capturing and storing systems to the conventional power plants can significantly reduce the spread of carbon emissions. In this article, the economic-emission dispatch of combined renewable and coal power plants equipped with carbon capture systems is addressed in a multiobjective optimization framework. The power system's flexibility is enhanced by hydropower plants, pumped hydro storage, and demand response program. The wind generation and load consumption uncertainties are modeled using stochastic programming. The dc power flow model is implemented on a modified IEEE 24-bus test system. Solving the problem resulted in an optimal Pareto frontier, while the fuzzy decision-making method found the best solution. The sensitivity of the objective functions concerning the generation-side is also investigated.",NO,NO,NO
