Paper Title,Paper Link,Publication Year,Publication Type,Publication Title,Author Names,DOI,PDF Link,Open Access,Citations Count,PubMed ID,PMC ID,References,arXiv ID,OpenAlex ID,Source,Abstract,Review,Preprint,arXiv_used
"Carbon Dioxide Emissions, Capture, Storage and Utilization: Review of Materials, Processes and Technologies",https://doi.org/10.1016/j.pecs.2021.100965,2021,article,Progress in Energy and Combustion Science,Turgut M. Gür,https://doi.org/10.1016/j.pecs.2021.100965,,False,746,,,295,,https://openalex.org/W4200288687,OpenAlex,,YES,NO,NO
"A critical review on deployment planning and risk analysis of carbon capture, utilization, and storage (CCUS) toward carbon neutrality",https://doi.org/10.1016/j.rser.2022.112537,2022,review,Renewable and Sustainable Energy Reviews,"Siyuan Chen, Jiangfeng Liu, Qi Zhang, Fei Teng, Benjamin McLellan",https://doi.org/10.1016/j.rser.2022.112537,,False,611,,,155,,https://openalex.org/W4283700439,OpenAlex,,YES,NO,NO
Carbon capture utilization and storage in review: Sociotechnical implications for a carbon reliant world,https://doi.org/10.1016/j.rser.2023.113215,2023,article,Renewable and Sustainable Energy Reviews,"Hope McLaughlin, Anna A. Littlefield, Maia Menefee, Austin Kinzer, Tobias C. Hull, Benjamin K. Sovacool, Morgan Bazilian, Jinsoo Kim, Steve Griffiths",https://doi.org/10.1016/j.rser.2023.113215,,True,390,,,229,,https://openalex.org/W4323288669,OpenAlex,"The decarbonization of industry and industrial systems is a pressing challenge given the relative lack of low-carbon options available for “hard to decarbonize” sectors such as steelmaking, cement manufacturing, and chemical production. Carbon capture utilization and storage (CCUS) represents a promising and crosscutting solution to this formidable problem. This review takes a systematic and sociotechnical perspective to examine how CCUS can support industrial decarbonization and relevant associated technical, economic, and social factors. This includes a focus on the energy and climate impacts of carbon emitting activities, the role, and options for CCUS in global responses to climate change, technical aspects of capture, transport, storage, and utilization, as well as policy implications and areas requiring further research. In doing so, the Review examines hundreds of published studies on the topic over the previous twenty years to offer a state-of-the-art investigation on technical options for capture (including direct air capture), transportation (including pipelines, ships, and rail), storage (including biotic and abiotic), and utilization (including enhanced oil recovery and biochar). The Review also investigates the evidence base within the literature on enablers and barriers to CCUS, policy mechanisms, and international frameworks as well as themes such as geopolitics, trade, and future research gaps. We conclude with insights about future CCUS pathways and sociotechnical systems dynamics.&lt;p&gt;&lt;/p&gt;",YES,NO,NO
"Current status of carbon capture, utilization, and storage technologies in the global economy: A survey of technical assessment",https://doi.org/10.1016/j.fuel.2023.127776,2023,article,Fuel,"Bartosz Dziejarski, Renata Krzyżyńska, Klas Andersson",https://doi.org/10.1016/j.fuel.2023.127776,https://ars.els-cdn.com/content/image/1-s2.0-S0016236123003897-ga1_lrg.jpg,True,536,,,148,,https://openalex.org/W4322490884,OpenAlex,"The latest tremendously rapid expansion of the energy and industrial sector has led to a sharp increase in stationary sources of CO2. Consequently, a lot of concerns have been raised about the prevention of global warming and the achievement of climate mitigation strategies by 2050 with a low-carbon and sustainable future. In view of this, the current state of various aspects of carbon capture, utilization, and storage (CCUS) technologies in general technical assessment were concisely reviewed and discussed. We concentrated on precisely identifying the technology readiness level (TRL), which is beneficial to specifically defining the maturity for each key element of the CCUS system with a commercialization direction paths. In addition, we especially presented and emphasized the importance of CO2 capture types from flue gases and CO2 separation methods. Then, we determined valuable data from the largest R&D projects at various scales. This paper provides a critical review of the literature related to challenges of the CCUS system that must be overcome to raise many low TRL technologies and facilitate their implementation on a commercial scale. Finally, our work aims to guide the further scaling up and establishment of worldwide CO2 emission reduction projects.",NO,NO,NO
Biologically-mediated carbon capture and utilization by microalgae towards sustainable CO2 biofixation and biomass valorization – A review,https://doi.org/10.1016/j.cej.2021.130884,2021,review,Chemical Engineering Journal,"Ehsan Daneshvar, Rebecca J. Wicker, Pau-Loke Show, Amit Bhatnagar",https://doi.org/10.1016/j.cej.2021.130884,,True,452,,,150,,https://openalex.org/W3175686763,OpenAlex,"The continuously rising emission of carbon dioxide (CO2) is a universal hazard which urgently requires collaborative action between policymakers and scientists. International treaties such as the Paris Agreement (with 196 signatories) reflect the importance of anthropogenic climate change as a truly global public concern. Towards the aim of climate recovery, the most broadly utilized CO2 reduction strategies, including carbon capture and storage (CCS); carbon capture, utilization, and storage (CCUS); and carbon capture and utilization (CCU) are reviewed herein. Of these methods, CCU shows the greatest potential by recycling captured CO2 and harnessing it as a resource to generate emissions-neutral or -negative value-added products (VAPs). Within CCU methodologies, biologically-mediated CCU (bio-CCU) by microalgae is a promising biotechnology to drastically reduce CO2 emissions. This review therefore details the mechanisms of photosynthesis to sequester CO2 and incorporate it into valuable biomolecules. Microalgal cells utilize CO2 as precursors of macromolecules, including lipids, proteins, carbohydrates, and pigments; all of which are discussed within the frame of industrial relevance and market value. The biofixation potential of microalgae is clearly demonstrated by the carbon content of the myriad VAPs they produce. Moreover, pathways towards decreasing carbon footprint (via carbon capture prior to emission to the atmosphere) and increasing carbon handprint (reducing carbon emissions by consuming CO2-neutral or -negative products) related to bio-CCU are presented herein. Finally, existing challenges and knowledge gaps are acknowledged and described, and future research needs are recommended.",YES,NO,NO
"Carbon mineralization pathways for carbon capture, storage and utilization",https://doi.org/10.1038/s42004-021-00461-x,2021,article,Communications Chemistry,Greeshma Gadikota,https://doi.org/10.1038/s42004-021-00461-x,https://www.nature.com/articles/s42004-021-00461-x.pdf,True,203,https://pubmed.ncbi.nlm.nih.gov/36697549,,32,,https://openalex.org/W3133922718,OpenAlex,"Carbon mineralization is a versatile and thermodynamically downhill process that can be harnessed for capturing, storing, and utilizing CO2 to synthesize products with enhanced properties. Here the author discusses the advances in and challenges of carbon mineralization, and concludes that tuning the chemical interactions involved will allow us to unlock its potential for advancing low carbon energy and resource conversion pathways.",NO,NO,NO
"Review of technological progress in carbon dioxide capture, storage, and utilization",https://doi.org/10.1016/j.jgsce.2023.205070,2023,article,Gas Science and Engineering,"Shadfar Davoodi, Mohammed Al-Shargabi, David A. Wood, Valeriy S. Rukavishnikov, Konstantin M. Minaev",https://doi.org/10.1016/j.jgsce.2023.205070,,False,265,,,150,,https://openalex.org/W4384156303,OpenAlex,,YES,NO,NO
"Technical Perspective of Carbon Capture, Utilization, and Storage",https://doi.org/10.1016/j.eng.2021.12.013,2022,article,Engineering,"Qingyang Lin, Xiao Zhang, Tao Wang, Chenghang Zheng, Xiang Gao",https://doi.org/10.1016/j.eng.2021.12.013,,True,208,,,73,,https://openalex.org/W4212950276,OpenAlex,"Carbon dioxide (CO2) is the primary greenhouse gas contributing to anthropogenic climate change which is associated with human activities. The majority of CO2 emissions are results of the burning of fossil fuels for energy, as well as industrial processes such as steel and cement production. Carbon capture, utilization, and storage (CCUS) is a sustainable technology promising in terms of reducing CO2 emissions that would otherwise contribute to climate change. From this perspective, the discussion on carbon capture focuses on chemical absorption technology, primarily due to its commercialization potential. The CO2 absorptive capacity and absorption rate of various chemical solvents have been summarized. The carbon utilization focuses on electrochemical conversion routes converting CO2 into potentially valuable chemicals which have received particular attention in recent years. The Faradaic conversion efficiencies for various CO2 reduction products are used to describe efficiency improvements. For carbon storage, successful deployment relies on a better understanding of fluid mechanics, geomechanics, and reactive transport, which are discussed in details.",NO,NO,NO
Review of carbon capture absorbents for CO<sub>2</sub> utilization,https://doi.org/10.1002/ghg.2151,2022,article,Greenhouse Gases Science and Technology,"Slyvester Yew Wang Chai, Lock Hei Ngu, Bing Shen How",https://doi.org/10.1002/ghg.2151,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ghg.2151,True,216,,,167,,https://openalex.org/W4280591938,OpenAlex,"Abstract Carbon capture technologies have been recognized as a potential alternative to alleviate global warming. Carbon capture and storage (CCS) is preferred over carbon conversion and utilization (CCU) due to its lower operating costs and higher CO 2 reduction capability. Nevertheless, CO 2 utilization has the potential to be more economical if value‐added products are produced. This highlights the importance of assessing CO 2 utilization routes and alternatives in carbon management. This review paper aims to evaluate the carbon utilization potential of major CO 2 ‐capturing absorbents including amine, hydroxide, ionic liquid, amino acids and carbonate absorbents. All absorbents show potential application for CO 2 utilization except for ionic liquids (ILs) due to their unclear CO 2 capture mechanisms. Absorbents that require a desorption process for CO 2 utilization include MEA, MDEA, K 2 CO 3 and Na 2 CO 3 due to their high absorption capacity. Industries have utilized the desorbed CO 2 as chemical feedstocks, enhanced oil recovery (EOR) and mineral carbonation. For hydroxide absorbents and CaCO 3 , desorption of CO 2 is unnecessary as the absorbed CO 2 can be directly utilized to produce construction materials. Apart from that, the incorporation of advanced technologies and business models introduced by the fourth industrial revolution are plausible considerations to accelerate the development of carbon capture technologies. © 2022 Society of Chemical Industry and John Wiley &amp; Sons, Ltd.",YES,NO,NO
"Progress and prospects of carbon dioxide capture, EOR-utilization and storage industrialization",https://doi.org/10.1016/s1876-3804(22)60324-0,2022,article,Petroleum Exploration and Development,"Shiyi Yuan, Desheng Ma, Junshi LI, Tiyao Zhou, Zemin Ji, Haishui Han",https://doi.org/10.1016/s1876-3804(22)60324-0,,True,201,,,6,,https://openalex.org/W4292663501,OpenAlex,"Carbon dioxide capture, EOR-utilization and storage (CCUS-EOR) are the most practical and feasible large-scale carbon reduction technologies, and also the key technologies to greatly improve the recovery of low-permeability oil fields. This paper sorts out the main course of CCUS-EOR technological development abroad and its industrialization progress. The progress of CCUS-EOR technological research and field tests in China are summarized, the development status, problems and challenges of the entire industry chain of CO2 capture, transportation, oil displacement, and storage are analyzed. The results show a huge potential of the large-scale application of CCUS-EOR in China in terms of carbon emission reduction and oil production increase. At present, CCUS-EOR in China is in a critical stage of development, from field pilot tests to industrialization. Aiming at the feature of continental sedimentary oil and gas reservoirs in China, and giving full play to the advantages of the abundant reserves for CO2 flooding, huge underground storage space, surface infrastructure, and wide distribution of wellbore injection channels, by cooperating with carbon emission enterprises, critical technological research and demonstration project construction should be accelerated, including the capture of low-concentration CO2 at low-cost and on large-scale, supercritical CO2 long-distance transportation, greatly enhancing oil recovery and storage rate, and CO2 large-scale and safe storage. CCUS-EOR theoretical and technical standard system should be constructed for the whole industrial chain to support and promote the industrial scale application, leading the rapid and profitable development of CCUS-EOR emerging industrial chain with innovation.",NO,NO,NO
