Paper Title,Paper Link,Publication Year,Publication Type,Publication Title,Author Names,DOI,PDF Link,Open Access,Citations Count,PubMed ID,PMC ID,References,arXiv ID,OpenAlex ID,Source,Abstract,Review,Preprint,arXiv_used
Non-Aqueous Solvent Mixtures for CO2 Capture: Choline Hydroxide-Based Deep Eutectic Solvents Absorbent Performance at Various Temperatures and Pressures,https://www.semanticscholar.org/paper/420a3345430026de7687aef25e256ee19e08b021,2023,,Sustainability,"Mohd Azlan Kassim, Nor Afifah Sulaiman, R. Yusoff, M. Aroua",https://doi.org/10.3390/su15129191,https://www.mdpi.com/2071-1050/15/12/9191/pdf?version=1686107865,True,16,,,35,,,SemanticScholar,"Carbon dioxide (CO2) absorption in a non-aqueous solution is a potential technology for reducing greenhouse gas emissions. In this study, a non-aqueous solvent, sulfolane and dimethylsulfoxide (DMSO), was functionalized with a deep eutectic solvent (DES) consisting of choline hydroxide and polyamines diethylenetriamine (DETA) and triethylenetetramine (TETA). The non-aqueous absorbents’ CO2 absorption ability was investigated in a high-pressure absorption reactor with a variable absorption temperature (303.15–333.15 K) and pressure (350–1400 kPa). The results showed that 2M ChOH:TETA−DMSO solution had the highest CO2 loading capacity when compared with other screened solutions, such as 2M ChOH:TETA−Sulfolane, 2M ChOH:DETA−DMSO and 2M ChOH:DETA−Sulfolane. It was also found that the absorption capacity increased with increasing pressure and decreased with temperature. The highest CO2 absorption by 2M ChOH:TETA−DMSO was observed at a partial pressure of 1400 kPa at 303.15 K 1.2507 mol CO2/mol DES. The use of a non-aqueous solvent in the mixture showed a phase separation phenomenon after the CO2 absorption reaction due to the formation of insoluble carbamate salt, which was identified through FTIR analysis. These findings suggest that the use of a DES polyamine mixed with a non-aqueous solvent could be a promising solution for CO2 capture.",NO,NO,NO
Quest for high performance carbon capture membranes: Fabrication of SAPO‐34 and CNTs‐doped polyethersulfone‐based mixed‐matrix membranes,https://www.semanticscholar.org/paper/6824735d26e51e26eb4ac268172d38fbacb3d90c,2023,,Journal of Applied Polymer Science,"Sidra Nawaz, M. Sarfraz, A. Qaiser, Muneerah Alomar, S. Gouadria, A. BaQais",https://doi.org/10.1002/app.54971,,False,7,,,15,,,SemanticScholar,"Gas separation process is an effective method for capturing and removing CO2 from post‐combustion flue gases. Due to their various essential properties such as ability to improve process efficiency, polymeric membranes are known to dominate the market. Trade‐off between gas permeability and selectivity through membranes limits their separation performance. In this study, solution casting cum phase separation method was utilized to create polyethersulfone‐based composite membranes doped with carbon nanotubes (CNTs) and silico aluminophosphate (SAPO‐34) as nanofiller materials. Membrane properties were then examined by performing gas permeation test, chemical structural analysis and optical microscopy. While enhancing membranes CO2 permeance, SAPO‐34 and CNTs mixture improved their CO2/N2 selectivity. By carefully adjusting membrane casting factors such as filler loadings. Using Taguchi statistical analysis, their carbon capture efficiency was improved. The improved mixed‐matrix membrane with loading of 5 wt% CNTs and 10 wt% SAPO‐34 in PES showed highly promising separation performance with a CO2 permeability of 319 Barrer and an ideal CO2/N2 selectivity of 12, both of which are within the 2008 Robeson upper bound. A better mixed‐matrix membrane with outstanding CO2/N2 selectivity and CO2 permeability was produced as a result of the synergistic effect of adding two types of fillers in optimized loading.",NO,NO,NO
Chemical Feedback in the Self-Assembly and Function of Air-Liquid Interfaces: Insight into the Bottlenecks of CO2 Direct Air Capture.,https://www.semanticscholar.org/paper/29fc5ff86b75355ecdb4e175d517004f63b649aa,2023,,ACS Applied Materials and Interfaces,"U. I. Premadasa, Dengpan Dong, Dia̅na Stamberga, R. Custelcean, Santanu Roy, Ying-Zhong Ma, V. Bocharova, Vyacheslav S. Bryantsev, Benjamin Doughty",https://doi.org/10.1021/acsami.3c00719,,False,15,36944180,,66,,,SemanticScholar,"As fossil fuels remain a major source of energy throughout the world, developing efficient negative emission technologies, such as direct air capture (DAC), which remove carbon dioxide (CO2) from the air, becomes critical for mitigating climate change. Although all DAC processes involve CO2 transport from air into a sorbent/solvent, through an air-solid or air-liquid interface, the fundamental roles the interfaces play in DAC remain poorly understood. Herein, we study the interfacial behavior of amino acid (AA) solvents used in DAC through a combination of vibrational sum frequency generation spectroscopy and molecular dynamics simulations. This study revealed that the absorption of atmospheric CO2 has antagonistic effects on subsequent capture events that are driven by changes in bulk pH and specific ion effects that feedback on surface organization and interactions. Among the three AAs (leucine, valine, and phenylalanine) studied, we identify and separate behaviors from CO2 loading, chemical changes, variations in pH, and specific ion effects that tune structural and chemical degrees of freedom at the air-aqueous interface. The fundamental mechanistic findings described here are anticipated to enable new approaches to DAC based on exploiting interfaces as a tool to address climate change.",NO,NO,NO
Enhanced Carbon Dioxide Capture: Adsorption and Physicochemical Properties of SBA‐15 Mesoporous Silica,https://www.semanticscholar.org/paper/b4570899b37a1f8e698d2d39f7593f713d100af8,2025,,Chemical Engineering &amp; Technology,"S. Mahendran, N. Yahaya, B. H. Hameed, Dai-Viet N. Vo, Abdelkader Ouakouak, Norikazu Nishiyama, A. Mohd Din",https://doi.org/10.1002/ceat.202300576,,False,4,,,40,,,SemanticScholar,"Global warming is widely recognized as one of humanity's most urgent challenges, making CO2 capture from the environment crucial to mitigating problems associated with climate change. In this study, ordered mesoporous silica SBA‐15 was synthesized using the sol–gel process with Pluronic P123, a nonionic surfactant, and tetraethyl orthosilicate as the silica source, with hydrochloric acid serving as the catalyst. The results indicated that the CO2 adsorption capacity of SBA‐15 was improved with higher CO2 feed concentration but decreased with increasing flowrate, temperature, and adsorbent loading. The Avrami model provided the best fit for the experimental kinetic data. The Thomas and Yoon–Nelson models were successful in predicting the CO2 adsorption performance of SBA‐15 in the fixed‐bed column system. The synthesized SBA‐15 demonstrated its significant potential as a cost‐effective CO2 adsorbent by maintaining a high adsorption capacity, even after multiple regeneration cycles.",NO,NO,NO
Evaluation and Performance of Menthol–Polyethylene Glycol LTTM in Carbon Dioxide Capture,https://www.semanticscholar.org/paper/cc2e5716c1d5c5ac303acef3f8ad29e07cde67f7,2025,,Greenhouse Gases: Science and Technology,"Fatma R. Al‐Fazari, F. Mjalli, Mehdi Shakourian-Fard, Ganesh Kamath, J. Naser, G. Murshid, S. A. Ma'awali",https://doi.org/10.1002/ghg.2330,,False,2,,,47,,,SemanticScholar,"Carbon dioxide capture technology, while established, faces operational and economic challenges with current absorbents. Ionic liquids (ILs), though promising for their selectivity and low volatility, often have drawbacks like high toxicity and viscosity. This study explores nonionic low transition temperature mixtures (LTTMs) of menthol (MET) and polyethylene glycol 200 (PEG200) at various ratios for CO2 uptake. The 1:2 molar ratio showed maximum CO2 loading of 0.599 mol CO2/mol solvent at 303.15 K and 1000 kPa, with water addition boosting CO2 uptake by 25%. This rise in uptake with water could be due to altered hydrogen bonding within the mixture constituents. Molecular dynamics simulations support these findings, indicating experimental results, showing that water disrupts hydrogen bonds, exposing hydroxyl and ether sites for CO2 interaction. This LTTM solvent system presents a promising, low‐toxicity alternative for efficient CO2 capture. © 2025 Society of Chemical Industry and John Wiley & Sons, Ltd.",NO,NO,NO
Comparative Analysis of the Efficiencies of Two Low Cost Adsorbents for Carbon Dioxide Capture,https://www.semanticscholar.org/paper/c25e5171484488797da42feddb77536043600bbb,2025,,International Journal of Environmental Research,"S. Yousaf, Haris Noor, Muhammad Wajid Ullah, A. Noorpoor, Adnan Tahir, Maria Siddique, R. Khan",https://doi.org/10.1007/s41742-025-00833-4,,False,2,,,52,,,SemanticScholar,,NO,NO,NO
Symbiosis-inspired de novo synthesis of ultrahigh MOF growth mixed matrix membranes for sustainable carbon capture,https://www.semanticscholar.org/paper/242ab66cd3708a9670de7e7cddeef5b10e0cb211,2021,,Proceedings of the National Academy of Sciences of the United States of America,"Shanshan He, Bin Zhu, Xu Jiang, G. Han, Songwei Li, Cher Hon Lau, Yadong Wu, Yanqiu Zhang, Lu Shao",https://doi.org/10.1073/pnas.2114964119,https://doi.org/10.1073/pnas.2114964119,True,160,34969860,8740686,49,,,SemanticScholar,"Significance The development of highly efficient carbon capture technology is the most crucial step for achieving the carbon neutrality target, which is estimated to have a global market value up to $6.13 billion by 2027. Advanced membranes, as efficient CO2 separation strategies, significantly promote the development of clean energy and low-carbon technologies. Studies on next-generation mixed matrix membranes (MMMs) are highly expected to combine excellent workability and high gas separation performance capable of sustainable energy-efficient carbon capture. Mixed matrix membranes (MMMs) are one of the most promising solutions for energy-efficient gas separation. However, conventional MMM synthesis methods inevitably lead to poor filler–polymer interfacial compatibility, filler agglomeration, and limited loading. Herein, inspired by symbiotic relationships in nature, we designed a universal bottom-up method for in situ nanosized metal organic framework (MOF) assembly within polymer matrices. Consequently, our method eliminating the traditional postsynthetic step significantly enhanced MOF dispersion, interfacial compatibility, and loading to an unprecedented 67.2 wt % in synthesized MMMs. Utilizing experimental techniques and complementary density functional theory (DFT) simulation, we validated that these enhancements synergistically ameliorated CO2 solubility, which was significantly different from other works where MOF typically promoted gas diffusion. Our approach simultaneously improves CO2 permeability and selectivity, and superior carbon capture performance is maintained even during long-term tests; the mechanical strength is retained even with ultrahigh MOF loadings. This symbiosis-inspired de novo strategy can potentially pave the way for next-generation MMMs that can fully exploit the unique characteristics of both MOFs and matrices.",NO,NO,NO
Carbon-Dioxide Capture in Simulated Gas Stream,https://www.semanticscholar.org/paper/47abe1062ae8d477d84aed57e388d26901e7d67e,2025,,International Journal of Innovative Science and Research Technology,"A. Kushwaha, Vaishnava Raghunath Chelluboyana, D. Ratnam, Poornima Pandey",https://doi.org/10.38124/ijisrt/25nov1538,,False,0,,,0,,,SemanticScholar,"The solubility of CO2 determined by an aqueous blend of (TSP+PZ+K-Lys) were experimentally investigated to
obtained new data on CO2 loading at total concentrations ranging from (1.0 to 3.0) mol.kg-1, temperature between (303.07
to 353.07) K and CO2 partial pressure ranging from (10.08 to 20.08) kPa with the help of a bubbling absorber. The results
were compared to data available in the literature, the (TSP+PZ+K-Lys) blend demonstrated higher CO2 absorption
capacity, indicating that this blend could serve as an efficient and promising absorbent for CO2 capture applications.",NO,NO,NO
Optimizing the Performance of Low-Loaded Electrodes for CO2-to-CO Conversion Directly from Capture Medium: A Comprehensive Parameter Analysis,https://www.semanticscholar.org/paper/e85502960f3d2a8de11c774ad0fe42d0e53fe345,2023,,Nanomaterials,"Alessio Mezza, M. Bartoli, A. Chiodoni, Juqin Zeng, C. Pirri, A. Sacco",https://doi.org/10.3390/nano13162314,https://www.mdpi.com/2079-4991/13/16/2314/pdf?version=1691823133,True,7,37630899,10458350,25,,,SemanticScholar,"Gas-fed reactors for CO2 reduction processes are a solid technology to mitigate CO2 accumulation in the atmosphere. However, since it is necessary to feed them with a pure CO2 stream, a highly energy-demanding process is required to separate CO2 from the flue gasses. Recently introduced bicarbonate zero-gap flow reactors are a valid solution to integrate carbon capture and valorization, with them being able to convert the CO2 capture medium (i.e., the bicarbonate solution) into added-value chemicals, such as CO, thus avoiding this expensive separation process. We report here a study on the influence of the electrode structure on the performance of a bicarbonate reactor in terms of Faradaic efficiency, activity, and CO2 utilization. In particular, the effect of catalyst mass loading and electrode permeability on bicarbonate electrolysis was investigated by exploiting three commercial carbon supports, and the results obtained were deepened via electrochemical impedance spectroscopy, which is introduced for the first time in the field of bicarbonate electrolyzers. As an outcome of the study, a novel low-loaded silver-based electrode fabricated via the sputtering deposition technique is proposed. The silver mass loading was optimized by increasing it from 116 μg/cm2 to 565 μg/cm2, thereby obtaining an important enhancement in selectivity (from 55% to 77%) and activity, while a further rise to 1.13 mg/cm2 did not provide significant improvements. The tremendous effect of the electrode permeability on activity and proficiency in releasing CO2 from the bicarbonate solution was shown. Hence, an increase in electrode permeability doubled the activity and boosted the production of in situ CO2 by 40%. The optimized Ag-electrode provided Faradaic efficiencies for CO close to 80% at a cell voltage of 3 V and under ambient conditions, with silver loading of 565 μg/cm2, the lowest value ever reported in the literature so far.",NO,NO,NO
Effect of Arginine-Based Deep Eutectic Solvents on Supported Porous Sorbent for CO2 Capture Analysis,https://www.semanticscholar.org/paper/6c15b39099d88db7fad0a6f11646049071214e43,2023,,Sains Malaysiana,"N. Suhaili, L. Lim, L. P. Teh, Siti Nurzubaida Shahdan, Zaitun Ghazali, M. Miyamoto, S. Uemiya, R. Othaman",https://doi.org/10.17576/jsm-2023-5205-08,https://doi.org/10.17576/jsm-2023-5205-08,True,6,,,0,,,SemanticScholar,"Carbon dioxide (CO2) as one of the heat-trapping gases, has caused global warming. Being a greener and more economical material, amino acid-based deep eutectic solvents (AADES) have attracted interest in CO2 capture applications. In this paper, the effect of L-arginine (Arg) in binary AADES of arginine-ethylene glycol (Arg-EG) and ternary AADES of choline chloride-ethylene glycol-arginine (ChCl-EG-Arg) on adsorption of CO2 was studied. The solubility, basicity, and physicochemical characteristics were compared with the binary DES (ChCl-EG) before and after being impregnated into a silica gel (SG) via the wet impregnation method. The AADES/SG adsorbents were evaluated for CO2 sorption performance using an automated gas sorption analyzer at 100% CO2 loading and thermogravimetric analysis (TGA) at flue gas conditions (15% CO2/85% N2). Findings show the basicity and the nitrogen content (N%) of AADES/SG were increased as Arg was added and DES/AADES functional group peaks (amino, hydroxyl, alkyl groups) were observed after the impregnation. The CO2 sorption of 16.0 mg/g at 25 °C and 1 atm was achieved by 30% Arg-EG(1:8)/SG followed by 30% ChCl-EG-Arg (1:2:0.1)/SG (14.8 mg/g) and 30% ChCl-EG/SG(1:2) (14.5 mg/g) using an Autosorb iQ2 instruments with 100% CO2 loading. The CO2 uptake was increased almost linearly with increasing pressure and decreased with increasing temperature. The Arg-EG(1:8)/SG shows the highest selectivity toward CO2 than other sorbents with 8.10 mg/g adsorption for 1 h at 15% CO2 loading at 25 °C with higher thermal stability and surface area. Considering environmental, technological, and economic viewpoints, the Arg-EG(1:8)/SG can be explored more as a potential solid sorbent for CO2 capture.",NO,NO,NO
