Paper Title,Paper Link,Publication Year,Publication Type,Publication Title,Author Names,DOI,PDF Link,Open Access,Citations Count,PubMed ID,PMC ID,References,arXiv ID,OpenAlex ID,Source,Abstract,Review,Preprint,arXiv_used
Optimizing CO2-Loaded Aqueous Amine Solutions for Higher Electrocatalytic CO2 Reduction Activity.,https://www.semanticscholar.org/paper/abf90b1d523bad31382875ac2b4f737c9a9b0012,2025.0,,Journal of the American Chemical Society,"Ab Qayoom Mir, A. Banerjee, Ferdawss Ihiri, Shawn Chiu, Anastassia N. Alexandrova, Carlos G. Morales‐Guio, Jenny Y. Yang",https://doi.org/10.1021/jacs.5c07783,,False,2,41088825,,61,,,SemanticScholar,"The activity of aqueous-based carbon dioxide reduction (CO2R) reactions is often limited by the solubility of CO2. The addition of amines can increase the total dissolved carbon in water through the formation of bicarbonate and carbamate species, which has been used to a great effect to capture CO2 from dilute streams. In this study, we explore the effect of 12 primary and secondary amines of varying Brønsted basicity, steric profile, and hydrogen-bonding capabilities on the aqueous CO2R to CO activity of a molecular Ni(cyclam)Cl2 catalyst with a Hg electrode. Addition of some of the amines results in greater activity and selectivity for CO production compared to equivalent aqueous solutions without added amines. Under optimal conditions (0.4 M 3-amino-propionitrile), there is an over sevenfold increase in partial current density and greater selectivity for CO compared to equivalent conditions with no amine. Interestingly, the increase in activity did not correlate to any single property across the 12 amines. To elucidate the effect of the amine additives on catalysis, we used vapor-liquid equilibrium modeling (VLE), 13C NMR spectroscopy, and computational analysis to determine the carbon speciation of the solutions. These results indicate that for amines without ethylalcohol functionalities, CO2R activity correlates with carbamate concentration, which is in turn governed by amine basicity and steric effects. However, this correlation does not persist for amines with ethylalcohol functionalities, which can form more stable carbamates through intramolecular-hydrogen bonding. These studies demonstrate that amine additives can enhance aqueous CO2R activity and selectivity and describe amine properties that lead to these higher performance metrics.",NO,NO,NO
AI-Driven Supply Chain Decarbonization: Strategies for Sustainable Carbon Reduction,https://www.semanticscholar.org/paper/810b12b1cab12ccd21f6d4356b6f1899a056b6f3,2025.0,,Sustainability,"Mohamed Amine Frikha, Mariem Mrad",https://doi.org/10.3390/su17219642,,False,6,,,44,,,SemanticScholar,"Supply chains are a primary contributor to global greenhouse gas (GHG) emissions, rendering their decarbonization an essential dimension of sustainable development. Artificial intelligence (AI) provides a transformative pathway by facilitating proactive emission avoidance through operational efficiency, transparency, and resilience, in contrast to post-emission mitigation approaches such as carbon capture. This study explores the potential of AI to support indirect carbon dioxide removal (CDR) via supply chain decarbonization, adopting a comparative case study methodology. Empirical evidence is drawn from Tunisian agri-food, textile, and port logistics sectors, based on multi-source datasets spanning 6–12 months and covering fleet sizes ranging from 40 to 250,000 units. Methodological robustness was ensured through the use of pre-intervention baselines, statistical imputation for missing data (<5%), and validation against 20% out-of-sample test sets. Results indicate that AI-enabled interventions achieved annual avoided emissions between 500 and 1500 tCO2 and reduced fuel consumption by 12–15%, with sensitivity analyses incorporating ±8–12% error margins. Among the approaches tested, hybrid models integrating operational and strategic layers demonstrated the most pronounced impact, aligning immediate efficiency gains with long-term systemic decarbonization. Furthermore, AI facilitates renewable energy integration, digital twin applications, and compliance with international sustainability frameworks, notably the Paris Agreement and the United Nations Sustainable Development Goals. Nevertheless, challenges related to data quality, computational demands, limited expertise, and organizational resistance constrain scalability. The findings underscore AI’s dual role as a technological enabler and systemic driver of supply chain decarbonization, advancing its positioning within global environmental sustainability transitions.",NO,NO,NO
Rapid screening of CO2 capture fluids.,https://www.semanticscholar.org/paper/bcce488404c0d61dc4d8c9e5c8c76b608a5a53a6,2025.0,,Lab on a Chip,"Yaohao Guo, Feng Li, Sepehr Saber, Mohammad Zargartalebi, S. Sun, Yurou Celine Xiao, Bo Bao, Zhi Xu, D. Sinton",https://doi.org/10.1039/d4lc00772g,,False,0,40387733,,37,,,SemanticScholar,"The evaluation of CO2 capture fluids is crucial for the advancement of carbon capture technologies. Recent advancements in amine-based carbon capture fluids motivate a broad search for high-performance fluids and the development of methods capable of exploring a large chemical space. Here, we present a microfluidic approach paired with automated image processing and density functional theory simulations that enables comprehensive rapid screening of capture fluids. The principle of measurement leverages the ability to monitor phase expansion and contraction in fixed-volume dead-end channels. This approach enables fast comparative assessments of reaction kinetics and thermodynamic parameters, including CO2 absorption rate (∼30 s), desorption rate (∼30 s), absorption capacity (∼20 min), and vapor pressure (∼5 min), exceeding the speed of conventional methods by two orders of magnitude. The method is broadly applicable, effective for primary, secondary, and tertiary amine types. Rapid screening of capture fluids holds promise for the accelerated discovery of improved CO2 capture processes and an opportunity for the microfluidics community to contribute to decarbonization efforts.",NO,NO,NO
"Performance enhancement and mechanistic insights of
 
 CO
 2
 
 capture by
 PZ
 ‐activated sterically hindered amines",https://www.semanticscholar.org/paper/f1b86bd4a7fac1b6dc14b2138a6318697e91aefa,2025.0,,AIChE Journal,"Mengjiao Zhang, Tianbao Shi, Yitong Li, Bin Liu, Zhiwu Liang, P. Tontiwachwuthikul, Jin‐Heng Li",https://doi.org/10.1002/aic.70149,,False,0,,,37,,,SemanticScholar,"
 
 Amine‐based chemical absorption remains a promisingly powerful technology for carbon dioxide (CO
 2
 ) capture. However, enhancing the performance of absorbents remains a significant challenge. In this study, three sterically hindered amines (SHAs), including 2‐(
 tert
 ‐butylamino)ethanol, 2‐amino‐2‐methyl‐1‐propanol, 2‐amino‐2‐methylpropane‐1,3‐diol were selected as the primary absorbents with piperazine (PZ) employed as an activator. Absorption and desorption experiments were conducted for various PZ‐SHAs systems with a total amine concentration of 30 wt% under conditions of 313 K and 13 kPa CO
 2
 partial pressure. The CO
 2
 absorption capacity, initial absorption rate, desorption rate, and desorption energy consumption were systematically evaluated, indicating that the addition of PZ as an activator could effectively improve the trapping capacity of the spatially hindered amine, and keep a high recycling capacity and low regeneration energy. Finally, the CO
 2
 reaction mechanism under the new system was clarified by
 13
 C nuclear magnetic resonance (NMR) technique.
",NO,NO,NO
Influences of Diamine Molecular Structures on the Phase‐Change CO2 Capture From Flue Gas,https://www.semanticscholar.org/paper/67b9aa3cb06c32d168dd92969a308abcf0724b14,2025.0,,Greenhouse Gases: Science and Technology,"Ziyong Li, Qingdan Huang, Tingyan Wang, Huihong Huang, Haoyong Song",https://doi.org/10.1002/ghg.2347,,False,0,,,27,,,SemanticScholar,"The amino groups and its substituents of organic amine absorbents have an important influence on the CO2 absorption and desorption performance. In this study, four diamines with the same primary amino group and another different amino groups were selected as absorbents, including 1,3‐propanediamine (1,3‐PDA), 3‐methylaminopropylamine (MAPA), 3‐dimethylaminopropylamine (DMAPA), and 3‐diethylaminopropylamine (DEAPA). The phase‐change absorption system uses a mixture of polyether and H2O as the solvent. The CO2 absorption performance of flue gas was studied with the analysis on absorption and desorption rate, cycle capacity, and desorption ratio. The effect of diamine molecular structures on phase‐change CO2 capture was investigated by nuclear magnetic carbon spectroscopy. The results show that DEAPA exhibits highest absorption capacity of 1.21 mol CO2/mol amine and recycling capacity of 1.09 mol CO2/mol amine. The absorption rate of primary and secondary diamines in the phase‐change system is significantly higher than that of primary and tertiary diamines. The diamine system with tertiary amino groups has significantly faster desorption rate, higher desorption ratio, and cycle capacity than the primary and secondary diamine systems. The intramolecular tertiary amino group is more conducive to promoting the absorption of CO2 than the intermolecular tertiary amino group, which can increase the absorption rate of CO2 by the primary amino group and enhance the CO2 desorption.",NO,NO,NO
Comparative Performance Analysis of Bioenergy with Carbon Capture and Storage (BECCS) Technologies,https://www.semanticscholar.org/paper/661d7f4c7d3e0fda46d585aaac9c96b24e1d2cac,,,,"Letizia Cretarola, F. O",,,False,0,,,88,,,SemanticScholar,,NO,NO,NO
Polymeric and Crystalline Materials for Effective and Sustainable CO2 Capture,https://www.semanticscholar.org/paper/7a45e845c939e65b039f3eec9658c6263ce85027,2024.0,,AppliedChem,"David Gendron, Maria Zakharova",https://doi.org/10.3390/appliedchem4030016,https://www.mdpi.com/2673-9623/4/3/16/pdf?version=1719406059,True,3,,,239,,,SemanticScholar,"Carbon dioxide (CO2) is recognized as the primary cause of global warming due to its greenhouse potential. It plays a significant role in contributing to the emissions arising from a variety of anthropogenic activities, such as energy production, transportation, the construction industry, and other industrial processes. Capturing and utilizing CO2 to mitigate its impact on the environment is, therefore, of significant importance. To do so, strategies such as net-zero strategies, deploying capture and storage technologies, and converting CO2 into useful products have been proposed. In this review, we focused our attention on the preparation and performance of polymeric and crystalline materials for efficient CO2 capture. More precisely, we examined MOFs, petroleum-based polymers (amine-based, polymeric ionic liquid, ionic polymer, conjugated macro/micro-cyclic polymer, and porous organic polymer) as well as bio-based polymers for CO2 capture. In brief, the present work aims to guide the reader on the available crafted polymeric and crystalline materials offering a promising avenue towards innovative carbon dioxide capture strategy.",NO,NO,NO
Co2 Capture and Work Environmental Sampling - Lessons Learned,https://www.semanticscholar.org/paper/8c651cc0c8f72c8c8231ee2af2da79b5b1203d8a,2021.0,,,Alexander Reyes-Lingjerde,https://doi.org/10.2139/ssrn.3813772,,False,0,,,0,,,SemanticScholar,"With almost a decade of operational experience from an amine-based post combustion carbon capture plant in Norway, Technology Centre Mongstad has under multiple occasions and operating scenarios monitored the work environment exposure risk for such facilities. Primary focus has been on concentrations of Nitrosodimethylamine in the work environmental atmosphere. This paper presents some findings from work environmental gas sapling collected between 2012 and 2020, where Thermosorb-N filters, impingers and PTR-MS were used for sampling. The main objective has been to investigate work environment exposure risk in a CO2 capture plant. The findings show that the median outdoor background concentration during the different test campaigns have been 0.2 ng/m3(Arithmetic Mean 5.8 ng/m3, range <0.01 - 39 ng/m3). The average and maximum concentration represents 3% and 20% of the given Occupational Exposure Limit Value of 200 ng/m3 for NDMA, respectively. Our results suggest that Nitrosodimethylamine can be present at an amine-based CO2-capture test plant, but at acceptable concentrations. In conclusion, the design and operational conditions at Technology Centre Mongstad maintain exposure background 
levels for the working atmosphere at a satisfactory level.",NO,NO,NO
Removal of Carbon Dioxide and Hydrogen Sulfide from Natural Gas Using a Hybrid Solvent of Monoethanolamine and N-Methyl 2-Pyrrolidone,https://www.semanticscholar.org/paper/01c0a608f5ec3c95411ffd4080029d44ee7b8a2d,2024.0,,ACS Omega,"A. S. Farooqi, R. Ramli, S. Lock, A. Farooqi, Muhammad Zubair Shahid, Syed Muhammad Wajahat ul Hasnain, Noor e Hira, Bawadi Abdullah",https://doi.org/10.1021/acsomega.3c09100,https://pubs.acs.org/doi/pdf/10.1021/acsomega.3c09100,True,11,38911790,11191085,41,,,SemanticScholar,"The main goal of traditional methods for sweetening natural gas (NG) is to remove hydrogen sulfide (H2S) and significantly lower carbon dioxide (CO2). However, when NG processes are integrated into the carbon capture and storage (CCS) framework, there is potential for synergy between these two technologies. A steady-state model utilizing a hybrid solvent consisting of N-methyl-2-pyrrolidone (NMP) and monoethanolamine (MEA) has been developed to successfully anticipate the CO2 and H2S capture process from NG. The model was tested against important variables affecting process performance. This article specifically explores the impact of operational parameters such as lean amine temperature, absorber pressure, and amine flow rate on the concentrations of CO2 and H2S in the sweet gas and reboiler duty. The result shows that hybrid solvents (MEA + NMP) perform better in removing acid gases and reducing reboiler duty than conventional chemical solvent MEA. The primary purpose is to meet product requirements while consuming the least energy possible, which is in line with any process plant’s efficiency goals.",NO,NO,NO
Carbon dots-facilitated on-demand dissolution of Ca-alginate hydrogel via site-specific mineralization for wound healing,https://www.semanticscholar.org/paper/37ea40bc59d28dfcda039ef86a03a349d515713a,2024.0,,Journal of Nanobiotechnology,"Qian Li, Chenguang Liu, Dongming Xing",https://doi.org/10.1186/s12951-024-02729-5,https://doi.org/10.1186/s12951-024-02729-5,True,0,39095807,11297779,49,,,SemanticScholar,"On-demand dissolution of hydrogels has shown much potential in easy and pain-free removal of wound dressings. This work firstly describes a type of carbon dots (CDs) for dissolving Ca-alginate hydrogel via site-specific mineralization method. The CDs were characterized by two features, which included presence of primary/secondary amine groups and generation of calcium crystals with Ca2+. Especially, the amount of primary/secondary amine groups on CDs played key role in determining whether hydrogel could be dissolved. When there were sufficient primary/secondary amine groups, the mineralization occurred on CDs rather than alginates due to the hydrogen bond between primary/secondary amine and carboxyl of alginates. Thereby, this promoted the gel-sol transition through Ca2+ capture from the hydrogels. Moreover, antibacterial test revealed Ca2+ capture from cell walls, while in vivo test revealed hypoxia relief due to porous structures of the renewed hydrogels. Overall, CDs with sufficient primary/secondary amine groups could dissolve Ca-alginate hydrogel through site-specific mineralization method, accompanying by additional functions of antibacterial and hypoxia relief.",NO,NO,NO
