Paper Title,Paper Link,Publication Year,Publication Type,Publication Title,Author Names,DOI,PDF Link,Open Access,Citations Count,PubMed ID,PMC ID,References,arXiv ID,OpenAlex ID,Source,Abstract,Review,Preprint,arXiv_used
"A critical review on deployment planning and risk analysis of carbon capture, utilization, and storage (CCUS) toward carbon neutrality",https://doi.org/10.1016/j.rser.2022.112537,2022,review,Renewable and Sustainable Energy Reviews,"Siyuan Chen, Jiangfeng Liu, Qi Zhang, Fei Teng, Benjamin McLellan",https://doi.org/10.1016/j.rser.2022.112537,,False,611,,,155.0,,https://openalex.org/W4283700439,OpenAlex,,YES,NO,NO
"Carbon capture, utilization, and storage (CCUS) technologies: Evaluating the effectiveness of advanced CCUS solutions for reducing CO2 emissions",https://doi.org/10.1016/j.rsurfi.2024.100381,2024,article,Results in Surfaces and Interfaces,"Enobong Hanson, Chukwuebuka Nwakile, Victor Oluwafolajimi Hammed",https://doi.org/10.1016/j.rsurfi.2024.100381,,True,208,,,265.0,,https://openalex.org/W4405394668,OpenAlex,"This review provides a comprehensive examination of Carbon Capture, Utilization, and Storage (CCUS) technologies, focusing on their advancements, challenges, and future prospects. It begins with an overview of carbon capture methods, including pre-combustion, post-combustion, and oxy-fuel combustion techniques, highlighting recent technological improvements and associated challenges. The review then explores various carbon utilization strategies, such as chemical conversion, biological processes, and mineralization, discussing emerging technologies, potential applications, and the economic and environmental benefits of utilizing captured CO 2 . The discussion on carbon storage covers geological options like saline aquifers and depleted oil and gas fields, as well as recent advancements in monitoring and safety measures. The review assesses long-term stability and the risks linked to CO2 storage. In addressing the integration and optimization of CCUS systems, it evaluates the synergies between capture, utilization, and storage, includes techno-economic analyses of integrated systems, and presents case studies of successful CCUS projects. Economic feasibility and scalability are scrutinized through cost analysis, barriers to large-scale implementation, and the role of policy and regulatory frameworks. The review also identifies key research gaps, explores innovation potential, and provides strategic recommendations for advancing CCUS adoption. In conclusion, the findings underscore the essential role of CCUS in mitigating climate change, while highlighting the need for continued innovation, policy support, and cost reductions to enable its widespread deployment and effectiveness.",NO,NO,NO
"Recent advances in CCUS: A critical review on technologies, regulatory aspects and economics",https://doi.org/10.1016/j.geoen.2024.212726,2024,review,Geoenergy Science and Engineering,"Fatick Nath, Md Nahin Mahmood, Navid Yousuf",https://doi.org/10.1016/j.geoen.2024.212726,,False,158,,,157.0,,https://openalex.org/W4394989933,OpenAlex,,YES,NO,NO
A comprehensive framework for feasibility of CCUS deployment: A meta-review of literature on factors impacting CCUS deployment,https://doi.org/10.1016/j.ijggc.2023.103878,2023,article,International journal of greenhouse gas control,"Kasper Storrs, Ivar Lyhne, Rikke Drustrup",https://doi.org/10.1016/j.ijggc.2023.103878,,True,102,,,87.0,,https://openalex.org/W4366230140,OpenAlex,"Carbon capture, utilisation and storage (CCUS) has gained prominence as one of a suite of technologies needed for mitigating the urgent threat posed by climate change. Despite the significance of CCUS technologies to a multitude of climate mitigation scenarios, research has identified a series of challenges to deployment, ranging from cost overruns and technical failures to public opposition. Research has widely documented the range of techno-economic challenges impacting the feasibility of individual technologies. However, a growing body of research calls for the feasibility of CCUS to be assessed more holistically, with greater focus on systemic, societal and other non-technical issues. Through a meta-review of 22 recent multidisciplinary review papers on CCUS, we identify and explore a comprehensive set of challenges impacting CCUS deployment. The results show a continued focus on the techno-economic dimensions within literature. However, the meta-review also unfolds a series of issues receiving less attention in literature, from organisational and environmental challenges to issues of legitimacy. Overall, this paper contributes to a broader understanding of the critical challenges facing CCUS projects in the coming decade and provides a framework for a more holistic assessment of climate mitigation technologies such as CCUS.",YES,NO,NO
"Harnessing the power of machine learning for carbon capture, utilisation, and storage (CCUS) – a state-of-the-art review",https://doi.org/10.1039/d1ee02395k,2021,review,Energy & Environmental Science,"Yongliang Yan, Yongliang Yan, Tohid N. Borhani, Sai Gokul Subraveti, Kasturi Nagesh Pai, Vinay Prasad, Arvind Rajendran, Paula Nkulikiyinka, Jude O. Asibor, Zhien Zhang, Ding Shao, Lijuan Wang, Wenbiao Zhang, Yong Yan, Yong Yan, William Ampomah, Junyu You, Meihong Wang, Edward J. Anthony, Vasilije Manović, Peter T. Clough",https://doi.org/10.1039/d1ee02395k,https://pubs.rsc.org/en/content/articlepdf/2021/ee/d1ee02395k,True,277,,,228.0,,https://openalex.org/W3210620395,OpenAlex,"A review of the state-of-the-art applications of machine learning for CO 2 capture, transport, storage, and utilisation.",YES,NO,NO
CCUS scenarios for the cement industry: Is CO2 utilization feasible?,https://doi.org/10.1016/j.jcou.2022.102015,2022,article,Journal of CO2 Utilization,"Juliana Garcia Moretz‐Sohn Monteiro, Simon Roussanaly",https://doi.org/10.1016/j.jcou.2022.102015,,True,120,,,27.0,,https://openalex.org/W4226477006,OpenAlex,"In this work, four illustrative CO2 capture, utilization and storage chains are investigated in order to evaluate the economic feasibility of CCUS technologies in connection to the cement industry. A CCS reference chain in which 90% of the CO2 emissions (or 0,694 MtCO2/y) are stored in a saline aquifer is first studied. Due to emissions related to energy usage in the capture, conditioning and transport processes, a total of 0,504 MtCO2/y are avoided, or 65% of the CO2 emitted by the cement plant at a cost of 114 €/t CO2 avoided. Then, production of ethanol, polyols or food-grade CO2 is integrated to the chain, composing three alternative CCUS chains. These products are chosen based on an assessment of market, energy demand, and technology readiness level of technologies. For CCUS, we show that the economic feasibility is case dependent. The cost of producing blue ethanol is estimated as 656 €/t, slightly above the market value of 633 €/t. The cost per tonne of CO2 avoided drops from 114€ (CCS) to 111€ (sugarcane-based displacement) and the amount of CO2 avoided increases by 3%, to 0,518 MtCO2/y. In the second CCUS scenario, we have evaluated the integrated production of polyols. The entire CCUS chain avoids 0,708 MtCO2/y, and produces 288 kt/y of polyols, generating a profit of 18 €/t CO2 avoided. In the third CCUS scenario, we show that the production of food-grade CO2 is feasible as long as it is used to replace fossil-derived CO2, with a total CO2 avoidance of 0,504 MtCO2/y at a cost of 108 €/t. A general conclusion from this work is that the average cement plant emits much more CO2 than can be utilized in a single CO2 utilization plant. That is either due to market constrains or limited availability of raw materials. For the routes evaluated in this work, the fraction of the emitted CO2 directed to the utilization plant was always below 10%. Therefore, when connected to the cement industry, utilization is not likely to be applied as a stand-alone solution, but as an integrated link in the CCUS chain.",NO,NO,NO
Assessing Representative CCUS Layouts for China’s Power Sector toward Carbon Neutrality,https://doi.org/10.1021/acs.est.1c03401,2021,article,Environmental Science & Technology,"Haotian Tang, Shu Zhang, Wenying Chen",https://doi.org/10.1021/acs.est.1c03401,,False,154,https://pubmed.ncbi.nlm.nih.gov/34323476,,42.0,,https://openalex.org/W3185877484,OpenAlex,"China's carbon neutrality target is building momentum for carbon capture, utilization, and storage (CCUS), by which the power sector may attain faster decarbonization in the short term. However, an overall CCUS pipeline network blueprint remains poorly understood. This study, for the first time, links the China TIMES model and ChinaCCUS Decision Support System 2.0 to assess representative CCUS layouts for the power sector toward carbon neutrality, with the level of deployment and the maximum transportation distance from emission sources to storage sites considered. The total length of the proposed layouts under the low, medium, and high levels of deployment are about 5100, 18,000, and 37,000 km, with the annum CO<sub>2</sub> captures of 0.4, 1.1, and 1.7 Gt, respectively, whereas pipes of medium diameters (12, 16, and 20 in) account for the majority in all three plans. As the deployment rate increases, the layouts generally spread from Northeast, North, and Northwest China to East, South Central, and Southwest China. However, some local exceptions take place considering terrain areas that the pipeline passes through. In addition to engineering guidance, this assessment also illuminates the opportunity for improving the efficiency of CCUS based on carbon pricing.",NO,NO,NO
Progress of CCUS technology in the iron and steel industry and the suggestion of the integrated application schemes for China,https://doi.org/10.1016/j.cej.2022.138438,2022,article,Chemical Engineering Journal,"Yang Yang, Wenqing Xu, Yan Wang, Junru Shen, Yixi Wang, Zanbu Geng, Qiang Wang, Tingyu Zhu",https://doi.org/10.1016/j.cej.2022.138438,,False,163,,,61.0,,https://openalex.org/W4289528648,OpenAlex,,NO,NO,NO
"What went wrong? Learning from three decades of carbon capture, utilization and sequestration (CCUS) pilot and demonstration projects",https://doi.org/10.1016/j.enpol.2021.112546,2021,article,Energy Policy,"Nan Wang, Keigo Akimoto, Gregory F. Nemet",https://doi.org/10.1016/j.enpol.2021.112546,,False,172,,,45.0,,https://openalex.org/W3198109982,OpenAlex,,NO,NO,NO
"A Review of Recent Progress of Carbon Capture, Utilization, and Storage (CCUS) in China",https://doi.org/10.3390/app13021169,2023,review,Applied Sciences,"Jia Yao, Hongdou Han, Yang Yang, Yiming Song, Guihe Li",https://doi.org/10.3390/app13021169,https://www.mdpi.com/2076-3417/13/2/1169/pdf?version=1673835149,True,116,,,155.0,,https://openalex.org/W4316371659,OpenAlex,"The continuous temperature rise has raised global concerns about CO2 emissions. As the country with the largest CO2 emissions, China is facing the challenge of achieving large CO2 emission reductions (or even net-zero CO2 emissions) in a short period. With the strong support and encouragement of the Chinese government, technological breakthroughs and practical applications of carbon capture, utilization, and storage (CCUS) are being aggressively pursued, and some outstanding accomplishments have been realized. Based on the numerous information from a wide variety of sources including publications and news reports only available in Chinese, this paper highlights the latest CCUS progress in China after 2019 by providing an overview of known technologies and typical projects, aiming to provide theoretical and practical guidance for achieving net-zero CO2 emissions in the future.",YES,NO,NO
