Paper Title,Paper Link,Publication Year,Publication Type,Publication Title,Author Names,DOI,PDF Link,Open Access,Citations Count,PubMed ID,PMC ID,References,arXiv ID,OpenAlex ID,Source,Abstract,Review,Preprint,arXiv_used
"A critical review on deployment planning and risk analysis of carbon capture, utilization, and storage (CCUS) toward carbon neutrality",https://doi.org/10.1016/j.rser.2022.112537,2022,review,Renewable and Sustainable Energy Reviews,"Siyuan Chen, Jiangfeng Liu, Qi Zhang, Fei Teng, Benjamin McLellan",https://doi.org/10.1016/j.rser.2022.112537,,False,611,,,155,,https://openalex.org/W4283700439,OpenAlex,,YES,NO,NO
"Carbon capture, utilization, and storage (CCUS) technologies: Evaluating the effectiveness of advanced CCUS solutions for reducing CO2 emissions",https://doi.org/10.1016/j.rsurfi.2024.100381,2024,article,Results in Surfaces and Interfaces,"Enobong Hanson, Chukwuebuka Nwakile, Victor Oluwafolajimi Hammed",https://doi.org/10.1016/j.rsurfi.2024.100381,,True,208,,,265,,https://openalex.org/W4405394668,OpenAlex,"This review provides a comprehensive examination of Carbon Capture, Utilization, and Storage (CCUS) technologies, focusing on their advancements, challenges, and future prospects. It begins with an overview of carbon capture methods, including pre-combustion, post-combustion, and oxy-fuel combustion techniques, highlighting recent technological improvements and associated challenges. The review then explores various carbon utilization strategies, such as chemical conversion, biological processes, and mineralization, discussing emerging technologies, potential applications, and the economic and environmental benefits of utilizing captured CO 2 . The discussion on carbon storage covers geological options like saline aquifers and depleted oil and gas fields, as well as recent advancements in monitoring and safety measures. The review assesses long-term stability and the risks linked to CO2 storage. In addressing the integration and optimization of CCUS systems, it evaluates the synergies between capture, utilization, and storage, includes techno-economic analyses of integrated systems, and presents case studies of successful CCUS projects. Economic feasibility and scalability are scrutinized through cost analysis, barriers to large-scale implementation, and the role of policy and regulatory frameworks. The review also identifies key research gaps, explores innovation potential, and provides strategic recommendations for advancing CCUS adoption. In conclusion, the findings underscore the essential role of CCUS in mitigating climate change, while highlighting the need for continued innovation, policy support, and cost reductions to enable its widespread deployment and effectiveness.",NO,NO,NO
"Application of red mud in carbon capture, utilization and storage (CCUS) technology",https://doi.org/10.1016/j.rser.2024.114683,2024,article,Renewable and Sustainable Energy Reviews,"Xinyue Liu, Xinyue Liu, Xiaoming Liu, Xiaoming Liu, Zengqi Zhang",https://doi.org/10.1016/j.rser.2024.114683,,False,108,,,127,,https://openalex.org/W4399834888,OpenAlex,,NO,NO,NO
"A Review of Recent Progress of Carbon Capture, Utilization, and Storage (CCUS) in China",https://doi.org/10.3390/app13021169,2023,review,Applied Sciences,"Jia Yao, Hongdou Han, Yang Yang, Yiming Song, Guihe Li",https://doi.org/10.3390/app13021169,https://www.mdpi.com/2076-3417/13/2/1169/pdf?version=1673835149,True,116,,,155,,https://openalex.org/W4316371659,OpenAlex,"The continuous temperature rise has raised global concerns about CO2 emissions. As the country with the largest CO2 emissions, China is facing the challenge of achieving large CO2 emission reductions (or even net-zero CO2 emissions) in a short period. With the strong support and encouragement of the Chinese government, technological breakthroughs and practical applications of carbon capture, utilization, and storage (CCUS) are being aggressively pursued, and some outstanding accomplishments have been realized. Based on the numerous information from a wide variety of sources including publications and news reports only available in Chinese, this paper highlights the latest CCUS progress in China after 2019 by providing an overview of known technologies and typical projects, aiming to provide theoretical and practical guidance for achieving net-zero CO2 emissions in the future.",YES,NO,NO
"Carbon capture, utilization and storage (CCUS) in oil and gas reservoirs in China: Status, opportunities and challenges",https://doi.org/10.1016/j.fuel.2024.132353,2024,article,Fuel,"Bin Liang, Chong Chen, Chun‐Sheng Jia, Chenhui Wang, Xiangzeng Wang, Yuqiang Zha, Rui Wang, Zhan Meng, Hao Wang",https://doi.org/10.1016/j.fuel.2024.132353,,False,122,,,141,,https://openalex.org/W4400951714,OpenAlex,,NO,NO,NO
Carbonic anhydrase to boost CO2 sequestration: Improving carbon capture utilization and storage (CCUS),https://doi.org/10.1016/j.chemosphere.2022.134419,2022,review,Chemosphere,"Ayanne de Oliveira Maciel, Paul Christakopoulos, Ulrika Rova, Io Antonopoulou",https://doi.org/10.1016/j.chemosphere.2022.134419,,True,109,https://pubmed.ncbi.nlm.nih.gov/35364080,,162,,https://openalex.org/W4220687519,OpenAlex,"CO<sub>2</sub> Capture Utilization and Storage (CCUS) is a fundamental strategy to mitigate climate change, and carbon sequestration, through absorption, can be one of the solutions to achieving this goal. In nature, carbonic anhydrase (CA) catalyzes the CO<sub>2</sub> hydration to bicarbonates. Targeting the development of novel biotechnological routes which can compete with traditional CO<sub>2</sub> absorption methods, CA utilization has presented a potential to expand as a promising catalyst for CCUS applications. Driven by this feature, the search for novel CAs as biocatalysts and the utilization of enzyme improvement techniques, such as protein engineering and immobilization methods, has resulted in suitable variants able to catalyze CO<sub>2</sub> absorption at relevant industrial conditions. Limitations related to enzyme recovery and recyclability are still a concern in the field, affecting cost efficiency. Under different absorption approaches, CA enhances both kinetics and CO<sub>2</sub> absorption yields, besides reduced energy consumption. However, efforts directed to process optimization and demonstrative plants are still limited. A recent topic with great potential for development is the CA utilization in accelerated weathering, where industrial residues could be re-purposed towards becoming carbon sequestrating agents. Furthermore, research of new solvents has identified potential candidates for integration with CA in CO<sub>2</sub> capture, and through techno-economic assessments, CA can be a path to increase the competitiveness of alternative CO<sub>2</sub> absorption systems, offering lower environmental costs. This review provides a favorable scenario combining the enzyme and CO<sub>2</sub> capture, with possibilities in reaching an industrial-like stage in the future.",NO,NO,NO
"Opportunities, challenges and the way ahead for carbon capture, utilization and sequestration (CCUS) by the hydrocarbon industry: Towards a sustainable future",https://doi.org/10.1016/j.egyr.2022.11.023,2022,article,Energy Reports,"Sushant Bajpai, Nehil Shreyash, Sukriti Singh, Amir Rauf Memon, Muskan Sonker, Saurabh Kr Tiwary, Susham Biswas",https://doi.org/10.1016/j.egyr.2022.11.023,,True,131,,,149,,https://openalex.org/W4310016298,OpenAlex,"While carbon capture and sequestration (CCS) has garnered many headlines in the recent past, its wider applicability on an industrial scale is yet to be explored due to a plethora of industrial challenges, primarily involving the short-term financial attractiveness of CCS projects. However, CCS represents a crucial technology for the hydrocarbon industry to extend its utility and financial attractiveness in this age where environmental, social and governance (ESG) criteria applied by financial institutes restrict access to capital by the hydrocarbon industry. However, CCS opportunities in the hydrocarbon industry are varied and require a more detailed understanding of the various processes for them to be successful in their desired operational parameters. Alternatively, the captured carbon dioxide (CO2) may be utilized for enhanced oil recovery (EOR) or methane production, which is referred to as carbon capture, utilization and storage (CCUS). Hence, the primary purpose of this review is to introduce the wider research audience to the various process of CCUS in the hydrocarbon industry by providing a brief introduction to their various process and their carbon storage potential. The review article discusses multiple CCS technologies and studies the Technology Readiness Level (TRL) values of each of these technologies in order to give a better outlook about the CCS technologies being employed in the contemporary world. Also, the viability of each CCUS process in subsurface oil mobilization applications would be explored for adverse conditions. Finally, a brief highlight on the implementation of proposed CCUS methods and their transition towards CO2 storage gas has been elaborated upon. Apart from reviewing the literature related to CCUS technologies, the authors have elaborated upon the economic aspects of these technologies. There authors have also studied the economic impact of carbon capture in different industries like the chemical industry, cement industry, etc. and thus, the review paper is intended to act as a guide for policy makers about the intended future course of action with regards to reducing the carbon footprint of the oil, till better and more equitable sources of energy replace it.",NO,NO,NO
How much impact will low oil price and carbon trading mechanism have on the value of carbon capture utilization and storage (CCUS) project? Analysis based on real option method,https://doi.org/10.1016/j.jclepro.2021.126768,2021,article,Journal of Cleaner Production,"Boqiang Lin, Zhizhou Tan",https://doi.org/10.1016/j.jclepro.2021.126768,,False,125,,,45,,https://openalex.org/W3137908281,OpenAlex,,NO,NO,NO
Frontiers of CO2 Capture and Utilization (CCU) towards Carbon Neutrality,https://doi.org/10.1007/s00376-022-1467-x,2022,article,Advances in Atmospheric Sciences,"Lingyun Zhang, Yanfang Song, Jialin Shi, Qun Shen, Deng Hu, Qiang Gao, Wei Chen, Kien-Woh Kow, Cheng Heng Pang, Nannan Sun, Wei Wei",https://doi.org/10.1007/s00376-022-1467-x,https://link.springer.com/content/pdf/10.1007/s00376-022-1467-x.pdf,True,70,,,100,,https://openalex.org/W4283741904,OpenAlex,"Abstract CO 2 capture, utilization, and storage (CCUS) technology is a rare option for the large-scale use of fossil fuels in a low-carbon way, which will definitely play a part in the journey towards carbon neutrality. Within the CCUS nexus, CCU is especially interesting because these processes will establish a new “atmosphere-to-atmosphere” carbon cycle and thus indirectly offer huge potential in carbon reduction. This study focuses on the new positioning of CCUS in the carbon neutrality scenario and aims to identify potential cutting-edge/disruptive CCU technologies that may find important application opportunities during the decarbonization of the energy and industrial system. To this end, direct air capture (DAC), flexible metal-framework materials (MOFs) for CO 2 capture, integrated CO 2 capture and conversion (ICCC), and electrocatalytic CO 2 reduction (ECR) were selected, and their general introduction, the importance to carbon neutrality, and most up-to-date research progress are summarized.",NO,NO,NO
CARBON CAPTURE AND UTILIZATION (CCU): A REVIEW OF EMERGING APPLICATIONS AND CHALLENGES,https://doi.org/10.51594/estj.v5i3.949,2024,review,Engineering Science & Technology Journal,"Ifeanyi Onyedika Ekemezie, Wags Numoipiri Digitemie",https://doi.org/10.51594/estj.v5i3.949,https://fepbl.com/index.php/estj/article/download/949/1164,True,63,,,26,,https://openalex.org/W4393131172,OpenAlex,"As the global community grapples with the urgent need to mitigate the impacts of climate change, Carbon Capture and Utilization (CCU) has emerged as a promising and multifaceted strategy to address carbon emissions. This review paper provides a comprehensive examination of the current state of CCU technologies, focusing on both the emerging applications and the challenges inherent in their implementation. The first section offers an overview of diverse carbon capture methods, ranging from pre-combustion to direct air capture, highlighting key advancements in technologies such as chemical absorption, membrane separation, and adsorption. Subsequently, the paper delves into the various pathways of carbon utilization, exploring applications in the production of fuels, carbon-based materials, and chemical synthesis. Notable breakthroughs in power-to-gas technologies, utilization in construction materials, and industrial applications are discussed in detail. The core of the review is dedicated to unveiling the emerging applications of CCU, with a specific emphasis on its role in agriculture and soil enhancement, integration with renewable energy systems, and collaboration with other industries. The potential economic and environmental benefits of these applications are explored to underscore the transformative impact of CCU on sustainable development. However, the journey towards widespread CCU adoption is not without challenges. This paper identifies and analyzes technical hurdles related to efficiency, scalability, and cost-effectiveness. Additionally, it examines the regulatory, policy, and societal challenges that may hinder the seamless integration of CCU technologies. Case studies of successful CCU projects provide practical insights, emphasizing lessons learned and best practices. The paper concludes by outlining future prospects and opportunities in the field of CCU, emphasizing the need for continued research, development, and international collaboration. It calls for a concerted effort to overcome challenges and harness the full potential of CCU in contributing to global carbon reduction goals. This comprehensive review aims to serve as a valuable resource for researchers, policymakers, and industry professionals involved in climate change mitigation, providing a nuanced understanding of the current landscape, opportunities, and challenges associated with Carbon Capture and Utilization. Keywords: Carbon Capture and Utilization (CCU), Applications, Challenges.",YES,NO,NO
Role of carbon capture and utilization (CCU) for decarbonization of industrial sector: A case study of Japan,https://doi.org/10.1016/j.apenergy.2022.120183,2022,article,Applied Energy,"Eiji Kawai, Akito Ozawa, Benjamin D. Leibowicz",https://doi.org/10.1016/j.apenergy.2022.120183,,False,83,,,24,,https://openalex.org/W4307920751,OpenAlex,,NO,NO,NO
