Paper Title,Paper Link,Publication Year,Publication Type,Publication Title,Author Names,DOI,PDF Link,Open Access,Citations Count,PubMed ID,PMC ID,References,arXiv ID,OpenAlex ID,Source,Abstract,Review,Preprint,arXiv_used
Optimization study of CO2 capture unit for subcritical coal-fired power generation unit based on Ebsilon and Aspen plus,https://doi.org/10.1016/j.enconman.2022.116111,2022,article,Energy Conversion and Management,"Li Yang, Nini Wang, Hongjun Guan, Jia Zhen-guo, Yelei Zhang, Guangqiang Zhao, Ming Gao",https://doi.org/10.1016/j.enconman.2022.116111,,False,53,,,31,,https://openalex.org/W4291237950,OpenAlex,,NO,NO,NO
Insights into the cyclic CO2 capture and catalytic methanation over highly performing Li-Ru/Al2O3 dual function materials,https://doi.org/10.1016/j.cej.2021.131275,2021,article,Chemical Engineering Journal,"Stefano Cimino, Roberta Russo, L. Lisi",https://doi.org/10.1016/j.cej.2021.131275,,False,72,,,55,,https://openalex.org/W3186978352,OpenAlex,,NO,NO,NO
An integrated CCU-plant scheme and assessment for conversion of captured CO2 into methanol,https://doi.org/10.1093/ijlct/ctac038,2022,article,International Journal of Low-Carbon Technologies,"Ning Yang, Kang Fu, Zhenyu Liu, Xinzhe Ge, Yunlong Zhou",https://doi.org/10.1093/ijlct/ctac038,https://academic.oup.com/ijlct/article-pdf/doi/10.1093/ijlct/ctac038/43447463/ctac038.pdf,True,21,,,43,,https://openalex.org/W4226428417,OpenAlex,"Abstract The purpose of this work is to highlight the interest of CO2 conversion into MeOH through a complete assessment of the entire CO2-to-MeOH chain. A CO2 capture unit using MEA solvent is considered to treat the CO2 from a 600-MW power plant, and the captured CO2 is then sent to the CO2 conversion unit. As a result, the combination of the two units leads to the integrated CO2 capture and utilization (CCU) plant, in particular involving the reuse of the heat from the high-temperature flows of the exothermal CO2 conversion reactions for regeneration of the CO2 capture solvent, and the recovered H2O between the CO2 capture and conversion units is also proposed to completely fulfill the H2O make-up. The technological results suggest that the integrated CCU plant is expected to offer advantages. The integrated CCU plant studied can utilize ~17.3% of the CO2 emissions of a power plant and convert 92% of them to 59.96 t of MeOH, and the heat integration corresponds to a 41.84% reduction in total reboiler load for the regeneration of MEA solvent. An economic assessment is proposed to estimate the OPEX and CAPEX costs, as well as the net present value, which confirms that the feasible economic conditions strongly depends on electricity costs. The contribution of the process or flows from CCU plant to the main environmental impacts is finally determined using the LCA method. The integrations inside the CCU plant offer a significant reduction in impact categories and CO2 emission as well as non-CO2 emission impacts when compared to the conventional MeOH production process.",NO,NO,NO
Behavior of nickel supported on calcium-enriched hydroxyapatite samples for CCU-methanation and ICCU-methanation processes,https://doi.org/10.1016/j.apcatb.2023.122989,2023,article,Applied Catalysis B: Environmental,"Zouhair Boukha, Alejandro Bermejo-López, Unai De‐La‐Torre, Juan R. González‐Velasco",https://doi.org/10.1016/j.apcatb.2023.122989,http://addi.ehu.eus/bitstream/10810/71988/1/Behavior%20of%20nickel%20supported%20on%20calcium-enriched%20hydroxyapatite%20samples.pdf,True,28,,,63,,https://openalex.org/W4381194501,OpenAlex,,NO,NO,NO
Niobium-Modified HZSM-5 Zeolite Catalyzes Low-Energy Regeneration of CO<sub>2</sub>-Captured Amine Solution,https://doi.org/10.1021/acssuschemeng.4c00200,2024,article,ACS Sustainable Chemistry & Engineering,"Yingyang Song, Junyu Lang, Qingrui Zeng, Jinping Cheng, Mingce Long",https://doi.org/10.1021/acssuschemeng.4c00200,,False,25,,,63,,https://openalex.org/W4399299969,OpenAlex,"Monoethanolamine (MEA)-based carbon dioxide absorption is one of the effective carbon capture, utilization, and storage (CCUS) technologies but is significantly restricted by the high energy consumption in the regeneration of rich amine solution. Solid acid catalysts have the potential to reduce energy consumption, while the exploration of highly active catalysts with abundant Bro̷nsted and Lewis acid sites remains needing. We developed an efficient solid acid catalyst, niobium-modified HZSM-5 (Nb/HZ), to facilitate CO2 desorption from the CO2-captured MEA solutions. The Nb/HZ catalysts with various niobium loadings were synthesized by using an impregnation method. HZSM-5 retained its pore structure and large surface area after niobium incorporation. The catalyst with 4% Nb (4.0-Nb/HZ) has the highest activity and stability, with 61% increase in the desorption rate, 50% increase in the desorbed CO2 amount, and 37% reduction of relative heat duty. According to theoretic calculations and experimental analyses, the Nb/HZ catalyst provides abundant Bro̷nsted and Lewis acid sites to facilitate carbamate adsorption, proton transfer, and carbamate breakdown, thus reducing the activation energy for CO2 desorption. This work provides a valuable solid acid catalyst for amine-based CO2 capture and also brings insights for the development of a novel solid acid for diverse catalysis.",NO,NO,NO
Membrane contactor-photocatalytic hybrid system for carbon dioxide capture and conversion to formic acid,https://doi.org/10.1016/j.rineng.2024.102085,2024,article,Results in Engineering,"Andi Rina Ayu Astuti, Wibawa Hendra Saputera, Danu Ariono, I Gede Wenten, Dwiwahju Sasongko",https://doi.org/10.1016/j.rineng.2024.102085,,True,13,,,52,,https://openalex.org/W4393359313,OpenAlex,"The escalating demand for Carbon Capture and Utilization (CCU) schemes to mitigate CO2 emissions has propelled research into more efficient methods of CO2 conversion, such as the production of formic acid. While traditional approaches often require harsh operating conditions and substantial energy inputs, photocatalysis offers a promising alternative by harnessing CO2, water, and light for formic acid production. This study evaluates the performance and reaction kinetics of CO2 capture and conversion to formic acid using an integrated membrane contactor and photocatalytic process. Investigation into various CO2 absorbents and reduction catalysts reveals that TEA achieves a CO2 loading of 0.957 moles of CO2/mole of solvent, while NaOH achieves 0.75 moles of CO2/mole of solvent over a 4-hour operation period. Subsequent photoreduction of CO2 results in formic acid concentration of 15.89 ppm using ZnO and 10.16 ppm using TiO2 within the same 4-hour operation period at a gas flow rate of 800 ml/min. The rate of CO2 photoreduction to formic acid emerges as the limiting factor in this integrated process, indicating a need for further optimization. Key parameters identified for optimal performance include a UV source of 500 W, a medium pH of 10, and a catalyst loading of 0.5 g/L. This study contributes to the advancement of CCU technologies by demonstrating the feasibility of integrating CO2 capture and photoreduction using membrane contactors and photocatalytic systems, paving the way for sustainable formic acid production.",NO,NO,NO
Adopting green absorbent for CO2 capture and agricultural utilization: Biogas slurry and biomass ash case,https://doi.org/10.1016/j.greenca.2024.03.001,2024,article,Green Carbon,"Feihong Liang, Shihui Wei, Lu Xue, Shuiping Yan",https://doi.org/10.1016/j.greenca.2024.03.001,,True,20,,,43,,https://openalex.org/W4392881102,OpenAlex,"Previously, the once-through CO2 chemical absorption process by biogas slurry was experimentally verified to offer the unique advantages like low energy consumption, cost-effectiveness, and feasibility of CO2 fixation in plants. However, this technology also faces some challenges and limitations, including a low CO2 absorption rate and performance. To improve the effectiveness and reliability of this innovative CCUS technology, this study proposes a novel method to enhance the CO2 absorption performance without affecting agricultural applications of CO2 by mixing biogas slurry with biomass ash as the green CO2 absorbent. The results indicate that when the solid-liquid mass ratio of biomass ash to biogas slurry is 5:10, the CO2 loading of the biomass ash and biogas slurry mixture (BA-BS) reaches 936.7±59.1 mmol/kg. Furthermore, the pH of the BA-BS remains stable at 6.9, meeting the rhizosphere pH requirements for plant cultivation. The CO2 absorption of the BA-BS liquid phase, referred to as improved biogas slurry (IBS), reaches its maximum at 230.4±3.5 mmol/L, which is 126.8% higher than that of the unimproved biogas slurry. The nitrogen content in the BA-BS solid phase, calling improved biomass ash (IBA), also reaches its maximum at 4.24±0.74 mg/g, thereby expanding the agricultural utilization of biomass ash. The most reasonable and effective way of utilizing CO2-rich mixed biogas slurry and biomass ash involves use IBA as the base fertilizer for tomato cultivation, supplemented later with IBS to promote growth. This optimal application allows for substantial utilization of CO2, introduced into the tomato cultivation environment by IBA and IBS. The carbon fixation of a single tomato has improved by 108.2%. This study thus provides a feasible solution for high-value negative carbonization of biogas slurry and biomass ash.",NO,NO,NO
Sustainable Odour and Greenhouse Gas Emissions Control in Wastewater Treatment Plant by Advanced Biotechnology-based System,https://doi.org/10.3303/cet2185005,2021,article,SHILAP Revista de lepidopterología,"Vincenzo Senatore, Tiziano Zarra, Rekich Pahunang, Giuseppina Oliva, Vincenzo Belgiorno, Florencio Ballesteros, Vincenzo Naddeo",https://doi.org/10.3303/cet2185005,,True,17,,,0,,https://openalex.org/W4392305296,OpenAlex,"Odours emissions from various facilities such as wastewater treatment plants (WWTPs), are becoming one of the main issues to face down for the plant operators to avoid complaints and potential impact, especially for the plants located nearby to the residential areas. The need to implement odour control strategies, for instance by using treatment technologies, is therefore a key point in the management of the plant. Moreover, in a world increasingly concerned about sustainability and environmental preservation, the identification of environmentally friendly odour treatment technologies is to be recommended and prescribed. The research presents the development of an advanced sustainable biotechnology-based control system able to treat odour and greenhouse gas emissions (GHG), with the aim to guarantee a sustainable process. The performance of the advanced biotechnology system is highlighted in terms of CO2 capture and reduction, by analysing different operating conditions (e.g. CO2 inlet load, L/G liquid:gas ratio and light intensity). The result shows that the proposed technology can capture up to 80% of CO2 concentration, produce microalgae biomass (742 mg l-1) and potentially biodegrade aromatic substances such as VOCs. The proposed advanced biotechnology system proves to be effective sustainable treatment process for the fixation of CO2, but further studies are necessary for evaluate the treatment efficiency of VOCs. The information presented in this research will be of interest to anyone involved with carbon capture and utilization (CCU) technology.",NO,NO,NO
Cs promoted Ni/ZrO2-Al2O3 catalysts for dry reforming of methane: Promotional effects of Cs for enhanced catalytic activity and stability,https://doi.org/10.1016/j.arabjc.2023.105564,2023,article,Arabian Journal of Chemistry,"Abdulaziz A.M. Abahussain, Ahmed S. Al‐Fatesh, Sunit Kumar Singh, Ghzzai Almutairi, Anis H. Fakeeha, Ahmed A. Ibrahim, Ahmed E. Abasaeed, Leone Frusteri, Nitin Labhsetwar",https://doi.org/10.1016/j.arabjc.2023.105564,,True,13,,,36,,https://openalex.org/W4389980000,OpenAlex,"Carbon Capture and Utilization (CCU) technologies offer a promising avenue for transforming captured CO2 into valuable products, serving as renewable fuels or precursors for high-value synthesis. This study explores the dry reforming of methane (DRM) as a viable pathway to convert captured CO2 and CH4 into syngas, achieving high equilibrium conversion through the use of suitable catalysts. Conventional nickel-based catalysts are susceptible to carbon deposition, necessitating innovative approaches to enhance their performance. A tubular microreactor was employed to conduct the reforming process at 800 °C, utilizing Cs-promoted Ni catalysts supported on 90 % Al2O3 and 10 % ZrO2-based support composition. Catalyst preparation involved the impregnation technique, and subsequent characterization employed N2-physisorption, XRD, H2-TPR, TGA, TPD, and Raman spectroscopy. The DRM reaction was systematically investigated using the Ni/ ZrO2- Al2O3 catalysts, with a specific focus on the catalytic effects of Cs promotion. Observations revealed that Cs incorporation onto the ZrO2- Al2O3 matrix led to a substantial increase in hydrogen yield and selectivity across all catalyst compositions, accompanied by a significant reduction in carbon deposition on the catalyst surface. The optimal Cs loading, determined to be 3 wt% over Ni/ ZrO2- Al2O3 catalyst, exhibited CO2 and CH4 conversions of 90 % and 87 %, respectively, with an H2/CO yield approaching 1 (0.95). This research underscores the potential of Cs-modified catalysts in enhancing the efficiency of DRM for CCU applications, providing valuable insights into optimizing catalyst formulations for improved performance in carbon transformation processes.",NO,NO,NO
Ionic liquid/ metal organic framework composites as a new class of materials for CO2 capture: Present scenario and future perspective,https://doi.org/10.1016/j.molliq.2023.123907,2023,article,Journal of Molecular Liquids,"Ishani Pandya, Omar A. El Seoud, Mohammed A. Assiri, Suresh Kumar Kailasa, Naved I. Malek",https://doi.org/10.1016/j.molliq.2023.123907,,False,37,,,203,,https://openalex.org/W4390277781,OpenAlex,,NO,NO,NO
