Paper Title,Paper Link,Publication Year,Publication Type,Publication Title,Author Names,DOI,PDF Link,Open Access,Citations Count,PubMed ID,PMC ID,References,arXiv ID,OpenAlex ID,Source,Abstract,Review,Preprint,arXiv_used
Research progress of carbon capture technology based on alcohol amine solution,https://doi.org/10.1016/j.seppur.2023.125715,2023,article,Separation and Purification Technology,"Hanlin Wu, Xuelai Zhang, Qing Wu",https://doi.org/10.1016/j.seppur.2023.125715,,False,81,,,133,,https://openalex.org/W4389080462,OpenAlex,,NO,NO,NO
On the origin of carbon sources in the electrochemical upgrade of CO2 from carbon capture solutions,https://doi.org/10.1016/j.joule.2023.05.010,2023,article,Joule,"Kangze Shen, Dongfang Cheng, Eber Reyes-Lopez, Joonbaek Jang, Philippe Sautet, Carlos G. Morales‐Guio",https://doi.org/10.1016/j.joule.2023.05.010,http://www.cell.com/article/S2542435123002088/pdf,True,44,,,43,,https://openalex.org/W4379389922,OpenAlex,,NO,NO,NO
Developing High-Capacity Solid “Molecular Basket” Sorbents for Selective CO<sub>2</sub> Capture and Separation,https://doi.org/10.1021/acs.accounts.3c00444,2023,article,Accounts of Chemical Research,"Xiaoxing Wang, Chunshan Song",https://doi.org/10.1021/acs.accounts.3c00444,,True,31,https://pubmed.ncbi.nlm.nih.gov/37984414,,59,,https://openalex.org/W4388816456,OpenAlex,"ConspectusSince carbon-based energy continues to dominate (over 80%) the global primary energy supply, carbon dioxide capture, utilization, and sequestration (CCUS) is deemed to be a promising and viable option to mitigate greenhouse gas emissions and climate change, for which CO<sub>2</sub> capture is critical to the overall success of CCUS. Although liquid amine scrubbing is a mature technology for carbon capture, it is energy-intensive and costly due to energy consumption in solvent heating and water evaporation apart from the energy needed to break amine-CO<sub>2</sub> bonding. To address this challenge, Song's group developed a new design approach for adsorptive CO<sub>2</sub> capture and separation, namely, ""molecular basket"" sorbents (MBS), without the need for dealing with solvent heating and water evaporation. The solid MBS consisting of polymeric amines (such as PEI) immobilized into nanoporous materials (such as SBA-15) possesses a high capacity for CO<sub>2</sub> capture with high selectivity, fast kinetics, and good regenerability. Consequently, MBS can greatly reduce energy consumption and carbon capture cost. Conventional adsorbents such as zeolites, activated carbon, alumina, and silica have low adsorption capacities, and their use of CO<sub>2</sub> adsorption requires prior removal of moisture and cooling of flue gas (∼35 °C). On the contrast, the CO<sub>2</sub> sorption capacity of MBS can even be promoted by the presence of moisture/steam and reaches the best performance closer to flue gas temperature (∼75 °C). This Account presents an overview of our research progress in the material development and fundamental understanding of MBS for CO<sub>2</sub> capture and the separation of CO<sub>2</sub> from various gas streams. It begins with an illustration of the MBS concept, followed by efforts to improve the performance and pilot-scale demonstration of MBS for CO<sub>2</sub> capture. With the systematic characterization of MBS by various ex situ and in situ techniques, a better understanding is developed for the CO<sub>2</sub> sorption process mechanistically. Furthermore, this Account demonstrates how the fundamental understanding of the CO<sub>2</sub> sorption mechanism promotes the further development of more robust and advanced sorbent materials with improved CO<sub>2</sub> sorption capacity, kinetics of sorption and desorption, and cyclic stability. Finally, an outlook is provided for the future design and development of novel sorbent materials and the CO<sub>2</sub> sorption process for various gas streams including flue gas, biogas, air, and hydrogen streams.",NO,NO,NO
Reduced energy consumption and enhanced CO2 desorption performance of non-aqueous ionic-liquid-containing amine blends with zeolites,https://doi.org/10.1016/j.molliq.2022.119233,2022,article,Journal of Molecular Liquids,"Neslisah Ulus, Özge Yüksel Orhan",https://doi.org/10.1016/j.molliq.2022.119233,,False,35,,,51,,https://openalex.org/W4225272161,OpenAlex,,NO,NO,NO
Interpretable prediction of viscosity and CO2 absorption rate of amine solvents combined with molecular dynamics simulations and machine learning,https://doi.org/10.1016/j.ces.2025.121419,2025,article,Chemical Engineering Science,"H. V. Keer, Zhou Tianhang, Jiahao Liu, Gao Jin-sen, Xingying Lan, XU Chun-ming",https://doi.org/10.1016/j.ces.2025.121419,,False,13,,,40,,https://openalex.org/W4407901801,OpenAlex,,NO,NO,NO
Synergistic Interaction-regulated selective carbon dioxide adsorption of amino-functionalized porous organic polymers,https://doi.org/10.1016/j.seppur.2024.131257,2024,article,Separation and Purification Technology,"Yang Xiaoxia, Ning Zhou, Xiaowen Xie, Zhifeng Dai, Boon Tong Goh, Zhenghai Chen, Yubing Xiong",https://doi.org/10.1016/j.seppur.2024.131257,,False,8,,,61,,https://openalex.org/W4405860910,OpenAlex,,NO,NO,NO
Comprehensive Review of Carbon Capture Technologies for Climate Change Mitigation,https://doi.org/10.33116/ije.v8i1.211,2025,article,Indonesian Journal of Energy,"Vita Meylani, Nundang Busaeri, Ocky Karna Radjasa, Nurul Hiron, Frista Mutiara",https://doi.org/10.33116/ije.v8i1.211,https://ije-pyc.org/index.php/IJE/article/download/211/87,True,7,,,0,,https://openalex.org/W4408039245,OpenAlex,"The emissions of carbon dioxide (CO2) significantly contribute to the rise in global temperatures and the exacerbation of climate change. Various initiatives have been undertaken to reduce CO2 emissions, notably through the adoption of carbon capture technologies. These technologies include Carbon Capture and Utilization (CCU), Carbon Capture and Storage (CCS), and the integrated approach of Carbon Capture, Utilization, and Storage (CCUS). Our study aims to elucidate the operational principles of CCU, highlight the benefits of carbon capture, and provide recent updates on the application of CCU and CCS in daily contexts. Utilizing a qualitative descriptive methodology through a literature review, we examine the primary sources related to CCU and CCS from various databases such as Scopus, Springer, Taylor &amp; Francis, and Google Scholar, covering the period from 2014 to 2024. As a novelty, our review covers physical techniques like absorption, gas or membrane separation, and pressure-temperature manipulation, alongside chemical methods such as the adsorption of amine compounds. Furthermore, biological techniques, including fixation, are also utilized. The operational framework of carbon capture technology is structured around three main processes: pre-combustion, post-combustion, and oxy-combustion. Notably, carbon capture technology incorporates the cultivation of microalgae as a fixation strategy, which promotes not only environmental sustainability but also shows significant promise for future applications. This method effectively sequesters large quantities of CO2 while requiring minimal nutritional resources. The advantages of utilizing microalgae include enhanced efficiency in CO2 fixation compared to terrestrial plants, reduced contamination, and a relatively simple operational structure. It is evident that the adoption of carbon capture technology is expected to increase in the coming years, particularly in light of the ongoing challenges posed by climate change. Prospective advancements in carbon capture technology are then discussed based on the review result. Thus, our literature review contributes to promoting the broader implementation of carbon capture technologies.",YES,NO,NO
Integrated CO2 capture and conversion to methanol: A performance comparison of alcohol-amine solvents,https://doi.org/10.1016/j.cej.2025.164655,2025,article,Chemical Engineering Journal,"Jingyuan Guan, D. M. Woodall, Dominic Pjontek",https://doi.org/10.1016/j.cej.2025.164655,,True,7,,,53,,https://openalex.org/W4411189859,OpenAlex,"An integrated CO 2 capture and conversion (ICCC) process has been proposed to reduce the high energy requirement of solvent regeneration and gas compression in conventional carbon capture and utilization (CCU) process. This is achieved by capturing CO 2 in a solvent and then directly reacting the solvent captured CO 2 with H 2 in reactors to synthesize chemical products. This work investigates mixtures of tertiary amines, glycols, and alcohols to perform the integrated CO 2 capture and conversion to methanol in a hydrogenation slurry reactor using a Cu/ZnO/Al 2 O 3 catalyst. The CO 2 capture performance and methanol formation activity were first evaluated via gas-loaded CO 2 hydrogenation for pure solvents and amine mixtures, where hexanol-triethylamine mixture showed enhanced conversion performance. The integrated reaction was then studied by hydrogenation of liquid-captured CO 2 to establish the impact of alcohol-triethylamine solvents on methanol formation. The impacts of reaction temperature, H 2 pressure, and reaction time were investigated for hexanol-triethylamine mixtures. The recycling performance was also evaluated for the spent solvent and catalyst. The highest methanol activity of 5.6 mmol MeOH g cat −1 h −1 was achieved at 250 °C and 5 MPa with 48 % CO 2 conversion and 80 % selectivity to methanol using the 10:1 hexanol-triethylamine mixture, while a stable catalyst recycling performance was achieved by the 5:1 hexanol-triethylamine mixture at 170 °C and 5 MPa. • Novel hexanol-triethylamine system for methanol synthesis via ICCC. • Integration achieved by liquid-captured CO 2 hydrogenation on a Cu/ZnO/Al 2 O 3 catalyst. • Hexanol-triethylamine mixture at 5:1 ratio outperformed other tested primary alcohols. • Reaction temperature and H 2 pressure from 170 to 250 °C and 1 to 5 MPa, respectively. • Highest methanol activity of 5.6 mmol MeOH g cat −1 h −1 achieved in the 10:1 HeOH-NET3.",NO,NO,NO
"Current status of carbon capture, utilization, and storage technologies in the global economy: A survey of technical assessment",https://doi.org/10.1016/j.fuel.2023.127776,2023,article,Fuel,"Bartosz Dziejarski, Renata Krzyżyńska, Klas Andersson",https://doi.org/10.1016/j.fuel.2023.127776,https://ars.els-cdn.com/content/image/1-s2.0-S0016236123003897-ga1_lrg.jpg,True,536,,,148,,https://openalex.org/W4322490884,OpenAlex,"The latest tremendously rapid expansion of the energy and industrial sector has led to a sharp increase in stationary sources of CO2. Consequently, a lot of concerns have been raised about the prevention of global warming and the achievement of climate mitigation strategies by 2050 with a low-carbon and sustainable future. In view of this, the current state of various aspects of carbon capture, utilization, and storage (CCUS) technologies in general technical assessment were concisely reviewed and discussed. We concentrated on precisely identifying the technology readiness level (TRL), which is beneficial to specifically defining the maturity for each key element of the CCUS system with a commercialization direction paths. In addition, we especially presented and emphasized the importance of CO2 capture types from flue gases and CO2 separation methods. Then, we determined valuable data from the largest R&D projects at various scales. This paper provides a critical review of the literature related to challenges of the CCUS system that must be overcome to raise many low TRL technologies and facilitate their implementation on a commercial scale. Finally, our work aims to guide the further scaling up and establishment of worldwide CO2 emission reduction projects.",NO,NO,NO
"Direct air capture: process technology, techno-economic and socio-political challenges",https://doi.org/10.1039/d1ee03523a,2022,article,Energy & Environmental Science,"María Erans, Eloy S. Sanz-Pérez, Dawid P. Hanak, Zeynep Clulow, David Reiner, Greg A. Mutch",https://doi.org/10.1039/d1ee03523a,https://pubs.rsc.org/en/content/articlepdf/2022/ee/d1ee03523a,True,611,,,345,,https://openalex.org/W4214639826,OpenAlex,"This comprehensive review appraises the state-of-the-art in direct air capture materials, processes, economics, sustainability, and policy, to inform, challenge and inspire a broad audience of researchers, practitioners, and policymakers.",NO,NO,NO
Customized Copolymer Composite Coatings for Carbon Capture Environments: Corrosion Inhibition and Co2 Barrier Synergy,https://doi.org/10.2139/ssrn.5107397,2025,preprint,SSRN Electronic Journal,"Yue Sun, Xiang Li, Bin Du, Jiwei Cui, Yanji Zhu, Huaiyuan Wang, Di Bao",https://doi.org/10.2139/ssrn.5107397,,True,1,,,0,,https://openalex.org/W4406698122,OpenAlex,,NO,YES,NO
Review of carbon capture absorbents for CO<sub>2</sub> utilization,https://doi.org/10.1002/ghg.2151,2022,article,Greenhouse Gases Science and Technology,"Slyvester Yew Wang Chai, Lock Hei Ngu, Bing Shen How",https://doi.org/10.1002/ghg.2151,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ghg.2151,True,216,,,167,,https://openalex.org/W4280591938,OpenAlex,"Abstract Carbon capture technologies have been recognized as a potential alternative to alleviate global warming. Carbon capture and storage (CCS) is preferred over carbon conversion and utilization (CCU) due to its lower operating costs and higher CO 2 reduction capability. Nevertheless, CO 2 utilization has the potential to be more economical if value‐added products are produced. This highlights the importance of assessing CO 2 utilization routes and alternatives in carbon management. This review paper aims to evaluate the carbon utilization potential of major CO 2 ‐capturing absorbents including amine, hydroxide, ionic liquid, amino acids and carbonate absorbents. All absorbents show potential application for CO 2 utilization except for ionic liquids (ILs) due to their unclear CO 2 capture mechanisms. Absorbents that require a desorption process for CO 2 utilization include MEA, MDEA, K 2 CO 3 and Na 2 CO 3 due to their high absorption capacity. Industries have utilized the desorbed CO 2 as chemical feedstocks, enhanced oil recovery (EOR) and mineral carbonation. For hydroxide absorbents and CaCO 3 , desorption of CO 2 is unnecessary as the absorbed CO 2 can be directly utilized to produce construction materials. Apart from that, the incorporation of advanced technologies and business models introduced by the fourth industrial revolution are plausible considerations to accelerate the development of carbon capture technologies. © 2022 Society of Chemical Industry and John Wiley &amp; Sons, Ltd.",YES,NO,NO
"Harnessing the power of machine learning for carbon capture, utilisation, and storage (CCUS) – a state-of-the-art review",https://doi.org/10.1039/d1ee02395k,2021,review,Energy & Environmental Science,"Yongliang Yan, Yongliang Yan, Tohid N. Borhani, Sai Gokul Subraveti, Kasturi Nagesh Pai, Vinay Prasad, Arvind Rajendran, Paula Nkulikiyinka, Jude O. Asibor, Zhien Zhang, Ding Shao, Lijuan Wang, Wenbiao Zhang, Yong Yan, Yong Yan, William Ampomah, Junyu You, Meihong Wang, Edward J. Anthony, Vasilije Manović, Peter T. Clough",https://doi.org/10.1039/d1ee02395k,https://pubs.rsc.org/en/content/articlepdf/2021/ee/d1ee02395k,True,277,,,228,,https://openalex.org/W3210620395,OpenAlex,"A review of the state-of-the-art applications of machine learning for CO 2 capture, transport, storage, and utilisation.",YES,NO,NO
CO2 capture materials: a review of current trends and future challenges,https://doi.org/10.1016/j.mtsust.2023.100483,2023,review,Materials Today Sustainability,"Bartosz Dziejarski, Jarosław Serafin, Klas Andersson, Renata Krzyżyńska",https://doi.org/10.1016/j.mtsust.2023.100483,https://ars.els-cdn.com/content/image/1-s2.0-S2589234723001690-ga1_lrg.jpg,True,279,,,713,,https://openalex.org/W4385337219,OpenAlex,"Over the last decade, CO2 adsorption technology has quickly gained popularity and is now widely applied in global CCUS projects due to playing an important role in achieving net-zero emissions by 2050. As a result, new materials, or methods of post-modification of those already available have been successively reported to enhance the efficiency of CO2 capture from flue gases. This paper discusses a systematic understanding of fundamental aspects of current research trends is discussed in terms of developing selected CO2 solid adsorbent materials, with a particular emphasis on the upcoming challenges. The adsorbent candidates are reviewed considering the practical drawbacks of imposed by industrial scale and economics, including carbon-based materials, MOFs, polymers, zeolite, silica, alumina, metal oxides, amine-based adsorbents, and other composite porous materials. Solid sorbents derived from biomass, industrial residues, and their thermochemical conversion are also studied due to the high need for cost-effective raw materials and their crucial role in circular economy. Lastly, a techno-economic analysis (TEA) is included to provide the most important criteria that should be considered when adsorbents are implemented on an industrial scale. Consequently, the review is summarized, and recommendations are offered for future research development of CO2 adsorbent materials. The paper aims to establish a comprehensive and fundamental theoretical basis for the characterization of adsorbent technologies currently used to reduce CO2 emissions, along with highlighting the identification and precise articulation of the most important future research paths that could be beneficial to address over the next years.",YES,NO,NO
Sorption direct air capture with CO2 utilization,https://doi.org/10.1016/j.pecs.2022.101069,2023,article,Progress in Energy and Combustion Science,"L. Jiang, Weiting Liu, R.Q. Wang, Abigail González-Díaz, Maria Fernanda Rojas Michaga, Stavros Michailos, Mohamed Pourkashanian, X.J. Zhang, Carolina Font-Palma",https://doi.org/10.1016/j.pecs.2022.101069,,True,274,,,284,,https://openalex.org/W4313459865,OpenAlex,"Direct air capture (DAC) is gathering momentum since it has vast potential and high flexibility to collect CO2 from discrete sources as “synthetic tree” when compared with current CO2 capture technologies, e.g., amine based post-combustion capture. It is considered as one of the emerging carbon capture technologies in recent decades and remains in a prototype investigation stage with many technical challenges to be overcome. The objective of this paper is to comprehensively discuss the state-of-the-art of DAC and CO2 utilization, note unresolved technology bottlenecks, and give investigation perspectives for commercial large-scale applications. Firstly, characteristics of physical and chemical sorbents are evaluated. Then, the representative capture processes, e.g., pressure swing adsorption, temperature swing adsorption and other ongoing absorption chemical loops, are described and compared. Methods of CO2 conversion including synthesis of fuels and chemicals as well as biological utilization are reviewed. Finally, techno-economic analysis and life cycle assessment for DAC application are summarized. Based on research achievements, future challenges of DAC and CO2 conversion are presented, which include providing synthesis guidelines for obtaining sorbents with the desired characteristics, uncovering the mechanisms for different working processes and establishing evaluation criteria in terms of technical and economic aspects.",NO,NO,NO
Carbon dioxide utilization in concrete curing or mixing might not produce a net climate benefit,https://doi.org/10.1038/s41467-021-21148-w,2021,article,Nature Communications,"Dwarakanath Ravikumar, Duo Zhang, Gregory A. Keoleian, Shelie A. Miller, Volker Sick, Victor C. Li",https://doi.org/10.1038/s41467-021-21148-w,https://www.nature.com/articles/s41467-021-21148-w.pdf,True,191,https://pubmed.ncbi.nlm.nih.gov/33558537,,88,,https://openalex.org/W3126276384,OpenAlex,"Carbon capture and utilization for concrete production (CCU concrete) is estimated to sequester 0.1 to 1.4 gigatons of carbon dioxide (CO<sub>2</sub>) by 2050. However, existing estimates do not account for the CO<sub>2</sub> impact from the capture, transport and utilization of CO<sub>2</sub>, change in compressive strength in CCU concrete and uncertainty and variability in CCU concrete production processes. By accounting for these factors, we determine the net CO<sub>2</sub> benefit when CCU concrete produced from CO<sub>2</sub> curing and mixing substitutes for conventional concrete. The results demonstrate a higher likelihood of the net CO<sub>2</sub> benefit of CCU concrete being negative i.e. there is a net increase in CO<sub>2</sub> in 56 to 68 of 99 published experimental datasets depending on the CO<sub>2</sub> source. Ensuring an increase in compressive strength from CO<sub>2</sub> curing and mixing and decreasing the electricity used in CO<sub>2</sub> curing are promising strategies to increase the net CO<sub>2</sub> benefit from CCU concrete.",NO,NO,NO
Limits to Paris compatibility of CO2 capture and utilization,https://doi.org/10.1016/j.oneear.2022.01.006,2022,article,One Earth,"Kiane de Kleijne, Steef V. Hanssen, Lester van Dinteren, Mark A. J. Huijbregts, Rosalie van Zelm, Heleen de Coninck",https://doi.org/10.1016/j.oneear.2022.01.006,http://www.cell.com/article/S2590332222000446/pdf,True,180,,,147,,https://openalex.org/W4213048593,OpenAlex,,NO,NO,NO
Enabling storage and utilization of low-carbon electricity: power to formic acid,https://doi.org/10.1039/d0ee03011b,2021,article,Energy & Environmental Science,"Sudipta Chatterjee, Indranil Dutta, Yanwei Lum, Zhiping Lai, Kuo‐Wei Huang",https://doi.org/10.1039/d0ee03011b,https://pubs.rsc.org/en/content/articlepdf/2021/ee/d0ee03011b,True,246,,,351,,https://openalex.org/W3120863368,OpenAlex,Power to formic acid<italic>via</italic>CO<sub>2</sub>hydrogenation or electrochemical CO<sub>2</sub>reduction has great potential to enable a complete cycle with formic acid to power for the storage and utilization of low-carbon electricity at a scale of multi-gigatonnes per year.,NO,NO,NO
Net-zero emissions chemical industry in a world of limited resources,https://doi.org/10.1016/j.oneear.2023.05.006,2023,article,One Earth,"Paolo Gabrielli, Lorenzo Rosa, Matteo Gazzani, Raoul Meys, André Bardow, Marco Mazzotti, Giovanni Sansavini",https://doi.org/10.1016/j.oneear.2023.05.006,http://www.cell.com/article/S2590332223002075/pdf,True,240,,,166,,https://openalex.org/W4378717523,OpenAlex,,NO,NO,NO
Toward economical application of carbon capture and utilization technology with near-zero carbon emission,https://doi.org/10.1038/s41467-022-35239-9,2022,article,Nature Communications,"Kezia Langie, Kyungjae Tak, Chang-Soo Kim, Hee Won Lee, Kwangho Park, Dongjin Kim, Wonsang Jung, Chan Woo Lee, Hyung‐Suk Oh, Dong Ki Lee, Jai Hyun Koh, Byoung Koun Min, Da Hye Won, Ung Lee",https://doi.org/10.1038/s41467-022-35239-9,https://www.nature.com/articles/s41467-022-35239-9.pdf,True,153,https://pubmed.ncbi.nlm.nih.gov/36470930,,42,,https://openalex.org/W4310942854,OpenAlex,"Carbon capture and utilization technology has been studied for its practical ability to reduce CO<sub>2</sub> emissions and enable economical chemical production. The main challenge of this technology is that a large amount of thermal energy must be provided to supply high-purity CO<sub>2</sub> and purify the product. Herein, we propose a new concept called reaction swing absorption, which produces synthesis gas (syngas) with net-zero CO<sub>2</sub> emission through direct electrochemical CO<sub>2</sub> reduction in a newly proposed amine solution, triethylamine. Experimental investigations show high CO<sub>2</sub> absorption rates (>84%) of triethylamine from low CO<sub>2</sub> concentrated flue gas. In addition, the CO Faradaic efficiency in a triethylamine supplied membrane electrode assembly electrolyzer is approximately 30% (@-200 mA cm<sup>-2</sup>), twice higher than those in conventional alkanolamine solvents. Based on the experimental results and rigorous process modeling, we reveal that reaction swing absorption produces high pressure syngas at a reasonable cost with negligible CO<sub>2</sub> emissions. This system provides a fundamental solution for the CO<sub>2</sub> crossover and low system stability of electrochemical CO<sub>2</sub> reduction.",NO,NO,NO
