Paper Title,Paper Link,Publication Year,Publication Type,Publication Title,Author Names,DOI,PDF Link,Open Access,Citations Count,PubMed ID,PMC ID,References,arXiv ID,OpenAlex ID,Source,Abstract,Review,Preprint,arXiv_used
Interpretable prediction of viscosity and CO2 absorption rate of amine solvents combined with molecular dynamics simulations and machine learning,https://doi.org/10.1016/j.ces.2025.121419,2025,article,Chemical Engineering Science,"H. V. Keer, Zhou Tianhang, Jiahao Liu, Gao Jin-sen, Xingying Lan, XU Chun-ming",https://doi.org/10.1016/j.ces.2025.121419,,False,13,,,40,,https://openalex.org/W4407901801,OpenAlex,,NO,NO,NO
Synergistic Interaction-regulated selective carbon dioxide adsorption of amino-functionalized porous organic polymers,https://doi.org/10.1016/j.seppur.2024.131257,2024,article,Separation and Purification Technology,"Yang Xiaoxia, Ning Zhou, Xiaowen Xie, Zhifeng Dai, Boon Tong Goh, Zhenghai Chen, Yubing Xiong",https://doi.org/10.1016/j.seppur.2024.131257,,False,8,,,61,,https://openalex.org/W4405860910,OpenAlex,,NO,NO,NO
"Direct air capture: process technology, techno-economic and socio-political challenges",https://doi.org/10.1039/d1ee03523a,2022,article,Energy & Environmental Science,"María Erans, Eloy S. Sanz-Pérez, Dawid P. Hanak, Zeynep Clulow, David Reiner, Greg A. Mutch",https://doi.org/10.1039/d1ee03523a,https://pubs.rsc.org/en/content/articlepdf/2022/ee/d1ee03523a,True,611,,,345,,https://openalex.org/W4214639826,OpenAlex,"This comprehensive review appraises the state-of-the-art in direct air capture materials, processes, economics, sustainability, and policy, to inform, challenge and inspire a broad audience of researchers, practitioners, and policymakers.",NO,NO,NO
Review of carbon capture absorbents for CO<sub>2</sub> utilization,https://doi.org/10.1002/ghg.2151,2022,article,Greenhouse Gases Science and Technology,"Slyvester Yew Wang Chai, Lock Hei Ngu, Bing Shen How",https://doi.org/10.1002/ghg.2151,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ghg.2151,True,216,,,167,,https://openalex.org/W4280591938,OpenAlex,"Abstract Carbon capture technologies have been recognized as a potential alternative to alleviate global warming. Carbon capture and storage (CCS) is preferred over carbon conversion and utilization (CCU) due to its lower operating costs and higher CO 2 reduction capability. Nevertheless, CO 2 utilization has the potential to be more economical if value‐added products are produced. This highlights the importance of assessing CO 2 utilization routes and alternatives in carbon management. This review paper aims to evaluate the carbon utilization potential of major CO 2 ‐capturing absorbents including amine, hydroxide, ionic liquid, amino acids and carbonate absorbents. All absorbents show potential application for CO 2 utilization except for ionic liquids (ILs) due to their unclear CO 2 capture mechanisms. Absorbents that require a desorption process for CO 2 utilization include MEA, MDEA, K 2 CO 3 and Na 2 CO 3 due to their high absorption capacity. Industries have utilized the desorbed CO 2 as chemical feedstocks, enhanced oil recovery (EOR) and mineral carbonation. For hydroxide absorbents and CaCO 3 , desorption of CO 2 is unnecessary as the absorbed CO 2 can be directly utilized to produce construction materials. Apart from that, the incorporation of advanced technologies and business models introduced by the fourth industrial revolution are plausible considerations to accelerate the development of carbon capture technologies. © 2022 Society of Chemical Industry and John Wiley &amp; Sons, Ltd.",YES,NO,NO
"Harnessing the power of machine learning for carbon capture, utilisation, and storage (CCUS) – a state-of-the-art review",https://doi.org/10.1039/d1ee02395k,2021,review,Energy & Environmental Science,"Yongliang Yan, Yongliang Yan, Tohid N. Borhani, Sai Gokul Subraveti, Kasturi Nagesh Pai, Vinay Prasad, Arvind Rajendran, Paula Nkulikiyinka, Jude O. Asibor, Zhien Zhang, Ding Shao, Lijuan Wang, Wenbiao Zhang, Yong Yan, Yong Yan, William Ampomah, Junyu You, Meihong Wang, Edward J. Anthony, Vasilije Manović, Peter T. Clough",https://doi.org/10.1039/d1ee02395k,https://pubs.rsc.org/en/content/articlepdf/2021/ee/d1ee02395k,True,277,,,228,,https://openalex.org/W3210620395,OpenAlex,"A review of the state-of-the-art applications of machine learning for CO 2 capture, transport, storage, and utilisation.",YES,NO,NO
CO2 capture materials: a review of current trends and future challenges,https://doi.org/10.1016/j.mtsust.2023.100483,2023,review,Materials Today Sustainability,"Bartosz Dziejarski, Jarosław Serafin, Klas Andersson, Renata Krzyżyńska",https://doi.org/10.1016/j.mtsust.2023.100483,https://ars.els-cdn.com/content/image/1-s2.0-S2589234723001690-ga1_lrg.jpg,True,279,,,713,,https://openalex.org/W4385337219,OpenAlex,"Over the last decade, CO2 adsorption technology has quickly gained popularity and is now widely applied in global CCUS projects due to playing an important role in achieving net-zero emissions by 2050. As a result, new materials, or methods of post-modification of those already available have been successively reported to enhance the efficiency of CO2 capture from flue gases. This paper discusses a systematic understanding of fundamental aspects of current research trends is discussed in terms of developing selected CO2 solid adsorbent materials, with a particular emphasis on the upcoming challenges. The adsorbent candidates are reviewed considering the practical drawbacks of imposed by industrial scale and economics, including carbon-based materials, MOFs, polymers, zeolite, silica, alumina, metal oxides, amine-based adsorbents, and other composite porous materials. Solid sorbents derived from biomass, industrial residues, and their thermochemical conversion are also studied due to the high need for cost-effective raw materials and their crucial role in circular economy. Lastly, a techno-economic analysis (TEA) is included to provide the most important criteria that should be considered when adsorbents are implemented on an industrial scale. Consequently, the review is summarized, and recommendations are offered for future research development of CO2 adsorbent materials. The paper aims to establish a comprehensive and fundamental theoretical basis for the characterization of adsorbent technologies currently used to reduce CO2 emissions, along with highlighting the identification and precise articulation of the most important future research paths that could be beneficial to address over the next years.",YES,NO,NO
Enabling storage and utilization of low-carbon electricity: power to formic acid,https://doi.org/10.1039/d0ee03011b,2021,article,Energy & Environmental Science,"Sudipta Chatterjee, Indranil Dutta, Yanwei Lum, Zhiping Lai, Kuo‐Wei Huang",https://doi.org/10.1039/d0ee03011b,https://pubs.rsc.org/en/content/articlepdf/2021/ee/d0ee03011b,True,246,,,351,,https://openalex.org/W3120863368,OpenAlex,Power to formic acid<italic>via</italic>CO<sub>2</sub>hydrogenation or electrochemical CO<sub>2</sub>reduction has great potential to enable a complete cycle with formic acid to power for the storage and utilization of low-carbon electricity at a scale of multi-gigatonnes per year.,NO,NO,NO
Sorption direct air capture with CO2 utilization,https://doi.org/10.1016/j.pecs.2022.101069,2023,article,Progress in Energy and Combustion Science,"L. Jiang, Weiting Liu, R.Q. Wang, Abigail González-Díaz, Maria Fernanda Rojas Michaga, Stavros Michailos, Mohamed Pourkashanian, X.J. Zhang, Carolina Font-Palma",https://doi.org/10.1016/j.pecs.2022.101069,,True,274,,,284,,https://openalex.org/W4313459865,OpenAlex,"Direct air capture (DAC) is gathering momentum since it has vast potential and high flexibility to collect CO2 from discrete sources as “synthetic tree” when compared with current CO2 capture technologies, e.g., amine based post-combustion capture. It is considered as one of the emerging carbon capture technologies in recent decades and remains in a prototype investigation stage with many technical challenges to be overcome. The objective of this paper is to comprehensively discuss the state-of-the-art of DAC and CO2 utilization, note unresolved technology bottlenecks, and give investigation perspectives for commercial large-scale applications. Firstly, characteristics of physical and chemical sorbents are evaluated. Then, the representative capture processes, e.g., pressure swing adsorption, temperature swing adsorption and other ongoing absorption chemical loops, are described and compared. Methods of CO2 conversion including synthesis of fuels and chemicals as well as biological utilization are reviewed. Finally, techno-economic analysis and life cycle assessment for DAC application are summarized. Based on research achievements, future challenges of DAC and CO2 conversion are presented, which include providing synthesis guidelines for obtaining sorbents with the desired characteristics, uncovering the mechanisms for different working processes and establishing evaluation criteria in terms of technical and economic aspects.",NO,NO,NO
Toward economical application of carbon capture and utilization technology with near-zero carbon emission,https://doi.org/10.1038/s41467-022-35239-9,2022,article,Nature Communications,"Kezia Langie, Kyungjae Tak, Chang-Soo Kim, Hee Won Lee, Kwangho Park, Dongjin Kim, Wonsang Jung, Chan Woo Lee, Hyung‐Suk Oh, Dong Ki Lee, Jai Hyun Koh, Byoung Koun Min, Da Hye Won, Ung Lee",https://doi.org/10.1038/s41467-022-35239-9,https://www.nature.com/articles/s41467-022-35239-9.pdf,True,153,https://pubmed.ncbi.nlm.nih.gov/36470930,,42,,https://openalex.org/W4310942854,OpenAlex,"Carbon capture and utilization technology has been studied for its practical ability to reduce CO<sub>2</sub> emissions and enable economical chemical production. The main challenge of this technology is that a large amount of thermal energy must be provided to supply high-purity CO<sub>2</sub> and purify the product. Herein, we propose a new concept called reaction swing absorption, which produces synthesis gas (syngas) with net-zero CO<sub>2</sub> emission through direct electrochemical CO<sub>2</sub> reduction in a newly proposed amine solution, triethylamine. Experimental investigations show high CO<sub>2</sub> absorption rates (>84%) of triethylamine from low CO<sub>2</sub> concentrated flue gas. In addition, the CO Faradaic efficiency in a triethylamine supplied membrane electrode assembly electrolyzer is approximately 30% (@-200 mA cm<sup>-2</sup>), twice higher than those in conventional alkanolamine solvents. Based on the experimental results and rigorous process modeling, we reveal that reaction swing absorption produces high pressure syngas at a reasonable cost with negligible CO<sub>2</sub> emissions. This system provides a fundamental solution for the CO<sub>2</sub> crossover and low system stability of electrochemical CO<sub>2</sub> reduction.",NO,NO,NO
Limits to Paris compatibility of CO2 capture and utilization,https://doi.org/10.1016/j.oneear.2022.01.006,2022,article,One Earth,"Kiane de Kleijne, Steef V. Hanssen, Lester van Dinteren, Mark A. J. Huijbregts, Rosalie van Zelm, Heleen de Coninck",https://doi.org/10.1016/j.oneear.2022.01.006,http://www.cell.com/article/S2590332222000446/pdf,True,180,,,147,,https://openalex.org/W4213048593,OpenAlex,,NO,NO,NO
